,ID,Strategy,Progress,Strategy_Label,problem,class,admin,age,sex,zone,gang,family,other,risk
703,Harbor-21-203-1,developmental assets,Some progress,couseling service (employment etc),Family Issues,need something,intake,26.0,2,6.0,-1.408051345,-1.270758155,,-0.922116099
705,Harbor-21-205-1,developmental assets,A Little progress,couseling service (employment etc),Family Issues,need something,intake,24.0,2,6.0,-0.928005758,2.790424612,,-2.304354752
707,Harbor-21-220-1,developmental assets,A Little progress,couseling service (employment etc),Anger issues,need something,intake,18.0,1,6.0,0.659008312,2.330633517,,-1.039487413
715,Harbor-21-221-1,developmental assets,A Little progress,couseling service (employment etc),Not consistent,face spme kind of problem,intake,22.0,1,6.0,2.080183008,2.499545951,2.728181172,-1.96091935
728,Harbor-21-223-1,developmental assets,A Little progress,couseling service (employment etc),Probation,face spme kind of problem,intake,17.0,1,6.0,-1.972132417,-0.16516518800000002,-1.232568931,-0.012289785
738,Harbor-21-224-1,developmental assets,A Little progress,couseling service (employment etc),Inconsistency,face spme kind of problem,intake,21.0,1,6.0,-1.135662546,-3.1907110710000004,-0.169077774,-2.612604481
751,Harbor-21-226-1,developmental assets,A Little progress,couseling service (employment etc),Anger issues,need something,intake,18.0,1,6.0,1.826439975,3.071024994,,-1.116466081
761,Harbor-21-229-1,drug awareness sessions.,A Little progress,get mentored for school/work,Substance Abuse,face spme kind of problem,intake,23.0,1,6.0,1.757349908,-0.856822513,1.280551858,-1.800046812
789,Harbor-21-234-1,developmental assets,A Little progress,couseling service (employment etc),Community Violence,face spme kind of problem,intake,23.0,1,6.0,0.968814734,3.895258379,0.454578003,-1.437359949
803,Harbor-21-237-1,developmental assets,A Little progress,couseling service (employment etc),Priorities,face spme kind of problem,intake,20.0,1,6.0,1.502510223,-0.67904965,,-2.378043347
809,Harbor-21-238-1,developmental assets,A Little progress,couseling service (employment etc),Issues with idle time,need something,intake,18.0,1,6.0,-0.031642613,0.04163575,0.764102209,-1.800046812
815,Harbor-21-239-1,develop client's commitment to learning. ,No progress,get mentored for school/work,Client is not enrolled in school to obtain her GED.  ,face spme kind of problem,intake,23.0,2,6.0,-0.202700419,0.055450218,0.447605653,-4.907778024
818,Harbor-21-242-1,developmental assets,A Little progress,couseling service (employment etc),Alcohol,face spme kind of problem,intake,23.0,1,6.0,0.950607914,1.752889998,,-2.956039882
1139,Hollenbeck 1-20-103-2,clt was assisted with employment placement with ucla one source.,Task/Service successfully completed,get mentored for school/work,Client is in job search,"id, work related isssues",intake,17.0,1,7.0,,1.7446813819999998,,-1.167613143
1145,Hollenbeck 1-20-104-3,clt was not register at school. clt began school at ela skill center.,Task/Service successfully completed,get mentored for school/work,CLT is a victim of crime,anger related issues,intake,16.0,1,7.0,,8.796792652,5.411542326,-2.884790151
1151,Hollenbeck 1-20-105-4,clt has a 9month daughter and is not working clt will be assisted with job leads. ,Task/Service successfully completed,get mentored for school/work,CLT not working at this time.,anger related issues,intake,23.0,1,7.0,-1.785795379,-3.066289047,,1.11960784
1225,Hollenbeck 1-20-112-2,clt is in need of work experience to keep busy after school,No progress,get mentored for school/work,Client has an open case/CLT is currently on Probation ,anger related issues,intake,15.0,1,7.0,1.709471014,-1.681576626,3.1267513,2.240936447
1297,Hollenbeck 1-20-115-3,utilize dmv waiver form to attain id,Excellent progress,get mentored for school/work,"court support, probation compliance, school support, ID, employment and community service hours",face spme kind of problem,intake,17.0,1,7.0,2.119452528,0.641573074,,-0.851717576
1299,Hollenbeck 1-20-116-2,"enrolled client into pln paid internship
",Good progress,get mentored for school/work,"assistance with employment, school progress, probation compliance, get off house arrest, and complete service hours. ",face spme kind of problem,intake,18.0,1,7.0,-4.01175504,2.981048079,,-0.832493292
1332,Hollenbeck 1-20-122-2,attempted to enroll into youth internship,No progress,get mentored for school/work,"needs assistance with getting enrolled into school, participate in UAM workshops, anger management, employment and housing.","id, work related isssues",intake,14.0,1,7.0,1.5456988530000002,-2.352233793,,6.214838431
1402,Hollenbeck 1-20-130-2,cm transported clt to apply for cal id. ,Task/Service successfully completed,get mentored for school/work,CLT is not working and need of Cal ID,anger related issues,intake,16.0,1,7.0,,3.29402837,0.272393258,1.496338437
1434,Hollenbeck 1-20-131-2,clt is now receiving family counseling at home.,Excellent progress,get mentored for school/work,Not having a good relationship with parents,face spme kind of problem,intake,16.0,1,7.0,5.020526832,-4.51496827,-0.40423009,2.202460702
1517,Hollenbeck 1-20-140-2,turn in work permit application to attain official document,Task/Service successfully completed,get mentored for school/work,"needs assistance with attaining work permit, applying for summer internship, California ID, and school progress",face spme kind of problem,intake,14.0,1,7.0,-3.452892402,0.5317886479999999,,-2.378043347
1521,Hollenbeck 1-20-147-2,apply to local jobs in the community,Good progress,get mentored for school/work,"needs assistance with HiSET pre classes to take exam, drivers license, employment search, college and tokens",face spme kind of problem,intake,18.0,1,7.0,0.898370965,0.3644969220000001,,-0.359196754
1579,Hollenbeck 1-20-183-2,"cm will provide encouragement, support and mentoring. ",N/A - not applicable to this phase,developmental asset,Client is in need of mentoring,anger related issues,intake,15.0,2,7.0,,-0.121226793,2.050071969,7.0818332339999985
1597,Hollenbeck 1-20-184-2,referral to usc telehealth ,Good progress,get mentored for school/work,counseling ,face spme kind of problem,intake,16.0,2,7.0,2.465549947,5.186046003,,0.113215585
1657,Hollenbeck 1-20-217-2,clt enrolled at lincoln heights high school ,Task/Service successfully completed,get mentored for school/work,Need of counseling services,anger related issues,intake,16.0,1,7.0,0.34625334,,-0.06150698,-1.206088888
1695,Hollenbeck 1-20-228-2,cm will assist clt with obtaining birth certificate,Task/Service successfully completed,get mentored for school/work,CLT is looking for work,anger related issues,intake,33.0,1,7.0,-1.443401756,-0.685319302,,-3.408349552
1728,Hollenbeck 1-20-243-1,clt is working and gaining work experience,Task/Service successfully completed,get mentored for school/work,CLT is in need of housing,anger related issues,intake,18.0,2,7.0,,-5.400660966,2.7792982210000003,-4.329781489
1734,Hollenbeck 1-20-244-1,cm will provide dmv waiver form and assist client in obtaining all necessary work ready docs.,Good progress,get mentored for school/work,Client is in need of support and encouragement,anger related issues,intake,18.0,2,7.0,,-2.118258887,,-1.800046812
1840,Hollenbeck 1-20-76-3,ct going to finish drug abuse classes to get off probation. ,Some progress,get mentored for school/work,CT is looking to get off Probation. ,face spme kind of problem,intake,18.0,1,8.0,,-0.049508558,2.9112450460000003,2.103610967
1858,Hollenbeck 2-20-10-3,cm continued to meet probation requirements. ,Task/Service successfully completed,get mentored for school/work,probation compliance ,face spme kind of problem,intake,17.0,2,8.0,-0.846130157,,,-1.2144044390000002
1913,Hollenbeck 2-20-31-3,getting ct's paper work together to get enrolled into job corps in dtla. ,Good progress,get mentored for school/work,CT wants to get in Job Corps and wants to be a Police Officer. ,face spme kind of problem,intake,18.0,1,8.0,,-3.985691493,0.962934113,-2.323606213
1966,Hollenbeck 2-20-45-2,clt suffers with anger management and impulisivity,Some progress,substance abuse/anger management/life skill,"High School, client is struggling with some classes and requires credit recovery. ",face spme kind of problem,intake,16.0,2,8.0,,-7.078669911,,-0.535179474
1999,Hollenbeck 2-20-50-3,cm will assist client with enrolling for extra credit offered with the classes he needs improvement.,Some progress,get mentored for school/work,Clients grades need improvement. Client asked for assistance with credit and grade recovery. ,face spme kind of problem,intake,16.0,1,8.0,0.487765165,-2.459904846,0.652680574,-0.13730693800000002
2017,Hollenbeck 2-20-52-3,draw up ct's resume,Task/Service successfully completed,get mentored for school/work,School Support/Tutoring; tattoo removal,face spme kind of problem,intake,16.0,2,8.0,,-1.1036412,0.8569989720000001,-0.7730306790000001
2025,Hollenbeck 2-20-68-2,assist ct to enroll in school for ged,Task/Service successfully completed,get mentored for school/work,School enrollment/support; anger mngt./ mentorship,face spme kind of problem,intake,19.0,1,8.0,,-0.5844398670000001,2.044220809,-1.225340349
2069,Hollenbeck 2-20-85-2,asst. ct to go to the ss off. to apply for another ss card,Task/Service successfully completed,get mentored for school/work,Social Security Card,face spme kind of problem,intake,42.0,1,8.0,1.912255645,-4.029648391,,6.269611378
2077,Hollenbeck 2-20-89-2,began enrollment to dv class. ,Good progress,get mentored for school/work,Client is in need of enrolling in a Domestic Violence Class. ,anger related issues,intake,30.0,2,8.0,,-9.098222747000001,0.655410226,2.690319035
2124,Hollenbeck 2-20-110-2,clt will attend and be enrolled in therapy and anger management session to reduce substance abuse,Good progress,substance abuse/anger management/life skill,Client is in need of enrolling and attending Substance Abuse regularly. ,anger related issues,intake,15.0,2,8.0,,-1.488551836,2.180018475,2.018162431
2298,Hollenbeck 2-20-131-2,case manager will help client enroll into a school of his interest/area. case manager will also help client get all documentation needed for school enrollment. ,A Little progress,get mentored for school/work,Client needs to enroll into school. ,"id, work related isssues",intake,13.0,1,8.0,,-0.193113825,4.391831203,1.435810129
2346,Hollenbeck 2-20-132-2,"case manager and client will meet to discuss local job listings, as well as build client's resume. ",A Little progress,get mentored for school/work,Employment.,gang related issues,intake,23.0,1,8.0,,3.666917361,3.733732727,5.598338974
2367,Hollenbeck 2-20-136-2,clt will go to school everyday and seek assistant from ciw/cm,Task/Service successfully completed,get mentored for school/work,Client does not attend school since graduating high school. ,face spme kind of problem,intake,21.0,2,8.0,,-4.687443898,4.465323964,-0.484032411
2458,Hollenbeck 2-20-143-2,cm assisted clt with turning completed paperwork to finish enrollment. ,Good progress,get mentored for school/work,Client is in need of housing. Currently client is sleeping from house to house. ,anger related issues,intake,18.0,2,8.0,0.17663846100000002,-6.062905862,1.984280889,0.145111186
2470,Hollenbeck 2-20-145-2,enrolled ct in internship available with sea for the ink foundry to learn graphic designer skills.,Task/Service successfully completed,get mentored for school/work,Client shared he does not like a lot of free time and is open to working anywhere. Both CM and CIW will assist client with his job search.,face spme kind of problem,intake,19.0,1,8.0,,0.648680884,,-2.269169079
2488,Hollenbeck 2-20-146-2,"clt, will attend y.e.s, and follow all the goals, ciw/cm",A Little progress,get mentored for school/work,Client has been fighting with peers and family removed her from her last school. Family is asking for assistance in enrolling client into a new school.,face spme kind of problem,intake,15.0,2,8.0,,-2.177600681,-0.498248042,0.145111186
2506,Hollenbeck 2-20-149-2,enrolled client in school. ,Excellent progress,get mentored for school/work,Clients school was closing down and therefore client needs to enroll into a new school for his new school ear. ,"id, work related isssues",intake,15.0,1,8.0,4.821129697,-0.597426665,,2.713348785
2537,Hollenbeck 2-20-154-2,client will continue to attend class on a regular basis and complete the course. ,Good progress,get mentored for school/work,Client is in need of housing. ,anger related issues,intake,23.0,1,8.0,1.5694947869999998,-0.245797227,,1.065170706
2541,Hollenbeck 2-20-158-3,client will enroll in domestic violence classes.,Excellent progress,get mentored for school/work,Client shared she recently got out of a long term relationship of domestic violence and is seeking counseling. CM will assist client with enrolling into counseling.,face spme kind of problem,intake,23.0,2,8.0,,-3.699770576,-0.180265631,-0.432885349
2722,Hollenbeck 2-20-165-2,clt needs to attend probation visits on a regular basis to meet probation requirements,Some progress,get mentored for school/work,Client is currently on probation and must abide by the demands of her Probation Officer. ,face spme kind of problem,intake,17.0,2,8.0,,-1.819777453,,0.432737036
2750,Hollenbeck 2-20-169-2,cm and ciw looking into some independent schools for ct. ,Task/Service successfully completed,get mentored for school/work,CT mentioned he wants to enroll into new School. ,face spme kind of problem,intake,16.0,1,8.0,,-3.1264325360000003,2.3893089030000003,2.513973325
2768,Hollenbeck 2-20-171-2,cm is going to have ct fill out tele health paperwork so that ct can get free counseling. ,Some progress,get mentored for school/work,CT is in need of Counseling. ,anger related issues,intake,17.0,1,8.0,,-0.8432399740000001,1.523920319,-2.775915883
3011,Hollenbeck 2-20-192-2,"cm will mental offer and help client enroll in counseling and will also encourage family reunification. 
",A Little progress,get mentored for school/work,"Client and immediate family members do not get along in the home. 
Client has shared she has a hard time expressing herself and has a lot of anger towards her mother. ",face spme kind of problem,intake,16.0,2,8.0,-2.950995448,-5.429433426,,-1.588878419
3123,Hollenbeck 2-20-199-2,cm has requested in the clients behalf financial assistance to help family obtain a replacement birth certificate. ,Some progress,get mentored for school/work,Client and family is asking for assistance in obtaining a birth certificate which was lost. ,face spme kind of problem,intake,15.0,1,8.0,,-1.6816042759999998,-1.304817897,2.186499312
3141,Hollenbeck 2-20-200-2,cm looking into different programs to get ct community service hour done. ,Some progress,get mentored for school/work,CT needs to work on getting Community Services Hours Finished. ,"id, work related isssues",intake,17.0,1,8.0,,-3.292162955,1.659717985,2.529934714
3159,Hollenbeck 2-20-201-2,"cm will assist client with (job readiness/training, seeking employment, resume writing, interviewing skills, etc.) ",A Little progress,get mentored for school/work,Client is currently unemployed and does not have a permanent source of income to provider for her two children. ,face spme kind of problem,intake,21.0,2,8.0,,2.903315617,,-4.618779757
3239,Hollenbeck 2-20-202-2,cm is looking into independent study schools for ct can get enrolled. ,Some progress,get mentored for school/work,CT wants to get back into some type of Schooling. ,face spme kind of problem,intake,18.0,1,8.0,,-2.976690174,1.971092714,1.127560401
3370,NHSEA-0-299-4,cm assisted clt with attending wioa info session at bh tech center ,Some progress,get mentored for school/work,Tier 2 - Education; client needs assistance with school enrollment to complete 15 credits for HS,"id, work related isssues",intake,20.0,1,8.0,1.401014849,-2.916886204,,-2.721297254
3515,Hollenbeck 3-20-199-2,cm will assist clt at the dmv and ss office to assist clt in obtaining documents in order for clt to be able to work. ,N/A - not applicable to this phase,get mentored for school/work,CLT is in need of work ready documents. ,anger related issues,intake,16.0,2,9.0,-4.080161572,-4.376621533,1.063532557,-2.959329954
3600,Hollenbeck 3-20-240-2,cm will assist clt in obtaining his ca id.,A Little progress,get mentored for school/work,CLT needs his CA ID.,anger related issues,intake,17.0,1,9.0,-1.140370322,0.139991589,,-2.143482214
3608,Hollenbeck 3-20-241-2,cm will assist clt in enrolling into school. ,A Little progress,get mentored for school/work,CLT is not enrolled in school. ,anger related issues,intake,20.0,2,9.0,-2.355023172,-1.17097643,,-5.485774558999998
3667,Hollenbeck 3-20-257-1,"cm needs to get clt enrolled into parenting classes, that work w/ clts working schedule. ",A Little progress,get mentored for school/work,CLT needs to complete parenting classes. ,"id, work related isssues",intake,22.0,1,9.0,2.611862218,0.205940696,,2.631344639
3695,Hollenbeck 3-20-264-1,cm will assist clt w/ preparing clt for driving test and assisting at the dmv.,A Little progress,get mentored for school/work,CLT is in need of drivers license. ,anger related issues,intake,19.0,2,9.0,-7.712476603,-1.267208518,,-1.186837427
3777,Hollenbeck 3-20-298-1,cm will assist clt w/ creating a resume. ,Task/Service successfully completed,get mentored for school/work,CLT does not have a resume. ,anger related issues,intake,18.0,2,9.0,,3.897966049,,-3.880761891
3842,Newton 1-17-56-2,cm will meet with client as much as possible to talk to client about thinking things over before and evaluating if it is the right thing to do.,Good progress,get mentored for school/work,Client is an impulsive risk taker and is constantly getting in trouble.,face spme kind of problem,intake,16.0,2,12.0,,1.543700522,,2.95119999
3844,Newton 1-17-59-2,gryd staff will utilize participant's desire to change to encourage and support him in achieving the changes he is making in his life.,N/A - not applicable to this phase,get mentored for school/work,Participant makes personal decisions without considering the repercussion of his actions on himself and his family. ,face spme kind of problem,intake,20.0,1,12.0,,2.952456415,0.213574527,1.093440422
3856,Newton 1-17-70-1,cm me with client and spoke to her about gbb substance abuse class. client stated she was not interested and will think about it. client wants to slow down on her smoking.,Excellent progress,substance abuse/anger management/life skill,Client I strongly misusing marijuana on a daily basis and is creating problems at school by getting caught with edibles inside campus. ,face spme kind of problem,intake,15.0,2,12.0,0.473827175,-0.975035314,0.481683686,4.693692456
3909,Newton 1-17-116-2,client will be refer to take anger management class to fulfill his probation.,Excellent progress,substance abuse/anger management/life skill,Client is currently on probation ,face spme kind of problem,intake,15.0,1,12.0,,-5.260253378,-0.220559489,0.5348496660000001
3970,Newton 1-17-128-1,client will be working close with cm and will be talking about the importance of having respect for his mother and following rules. cm will be meeting with client once a week for mentorship.,N/A - not applicable to this phase,get mentored for school/work,Client is oppositional with mother and does what ever he wants.,face spme kind of problem,intake,14.0,1,12.0,,-0.308009553,1.475168255,0.277378195
3977,Newton 1-17-145-1,cm and ciw will provide gang intervention services to motivate client to change his perspective on the current friends he has.,Excellent progress,get mentored for school/work,Client is starting to become associated with local community members which is resulting in negative behaviors.,face spme kind of problem,intake,15.0,1,12.0,-1.163980916,1.609756806,,1.615934128
3979,Newton 1-17-156-1,client will attend life skill classes at going beyond boundaries once a week,Excellent progress,substance abuse/anger management/life skill,Client has tattoo on chest which mother wants removed client is easy influenced by friends.,face spme kind of problem,intake,16.0,2,12.0,,,,-1.511048545
3983,Newton 1-17-160-1,cm and ciw will work with client and make sure that client is attending school and is staying out of trouble.,N/A - not applicable to this phase,get mentored for school/work,Client has excessive truancy and is in danger of getting expel from high school.,face spme kind of problem,intake,15.0,2,12.0,,2.053181593,,4.048614647
3986,Newton 1-17-170-1,client will meet with cm for strategies to make better decisions.,Good progress,get mentored for school/work,Client makes bad choices and decisions.,face spme kind of problem,intake,14.0,2,12.0,,,,-1.167431648
4000,Newton 1-17-187-1,"case manager will counsel minor about his negative interaction with his parents ever since he started associating with community members, and ciw will talk to participant about the perils of being involved with community members. ",Good progress,get mentored for school/work,Minor has been very defiant at hone with his parents ever since he started to associate with community members.,face spme kind of problem,intake,15.0,1,12.0,,2.180487733,-0.203155807,-1.800046812
4008,Newton 1-17-189-1,client will be refer to the life skills class to attend thursdays.,N/A - not applicable to this phase,substance abuse/anger management/life skill,Client is hanging around with local community members and is using drugs.,face spme kind of problem,intake,16.0,2,12.0,,-3.835755137,,4.212777257
4010,Newton 1-17-190-2,client will be receiving mentoring and intervention services from case manager and ciw.,N/A - not applicable to this phase,get mentored for school/work,"Client currently hangs around with known community members, and this affects his academics and behavior.",face spme kind of problem,intake,16.0,1,12.0,,0.7585122879999999,,1.775955459
4021,Newton 1-17-200-1,client was referred to anger management.,N/A - not applicable to this phase,substance abuse/anger management/life skill,Minor has difficulty handling his feelings and emotions.,face spme kind of problem,intake,16.0,1,12.0,,-0.7015423559999999,3.688466838,-0.254315262
4023,Newton 1-17-206-1,gryd staff will counsel client about the perils of associating with community members.,Good progress,get mentored for school/work,Client spends time with community members.,face spme kind of problem,intake,17.0,1,12.0,,3.596113174,1.920490128,1.002418021
4031,Newton 1-17-207-1,"given youth's good disposition, gryd staff will counsel participant about the detrimental impact of associating with community members. ",Good progress,get mentored for school/work,Minor associates with known community members.,face spme kind of problem,intake,13.0,2,12.0,,-0.8782294690000001,2.434574792,1.127560401
4039,Newton 1-17-208-1,client will participate in 52 sessions of domestic violence.,Good progress,get mentored for school/work,Client has a lot of difficulty handling his emotions and feelings.,face spme kind of problem,intake,24.0,1,12.0,,-5.010420519,-3.145166179,-1.066691435
4048,Newton 1-17-226-1,client will be refer to el nido family center for professional therapy.,Good progress,get mentored for school/work,Client has anger issues that are getting out of hand and may even get someone hurt. ,need something,intake,14.0,2,12.0,,0.02579594,,2.033058125
4050,Newton 1-17-227-1,gryd staff will utilize minor's desire to change to help him strengthen his resolve to make better decisions about how he handles his emotions.,N/A - not applicable to this phase,get mentored for school/work,Minor has a tendency to get upset easily and to react verbally aggressively. ,face spme kind of problem,intake,17.0,1,12.0,,-0.374364352,1.724387875,-3.986346087
4058,Newton 1-17-230-1,"through a combination of life skill classes and conversations with gryd staff, client will become aware of triggers which make him act impulsively and to assist him make healthier decisions.",N/A - not applicable to this phase,substance abuse/anger management/life skill,Client acts impulsively which impacts significantly his decision making skills. ,face spme kind of problem,intake,19.0,1,12.0,,3.585381762,,1.853999821
4066,Newton 1-17-231-1,client will be referred to anger management classes at going beyond boundaries. ,N/A - not applicable to this phase,substance abuse/anger management/life skill,client has a problem controlling his anger which causes him to act impulsively to his own detriment. ,face spme kind of problem,intake,17.0,1,12.0,-6.064721343,0.927703419,-2.277777275,7.9365255239999986
4074,Newton 1-17-232-1,gryd staff will utilize client's good disposition to counsel and provide him with services to deter him from continuing associating with community members.,N/A - not applicable to this phase,get mentored for school/work,Participant associates with community members.,face spme kind of problem,intake,20.0,1,12.0,,0.508467473,-1.451926025,0.7808621040000001
4082,Newton 1-17-233-1,client will be refer to the life skills class offer by the gbb agency.,N/A - not applicable to this phase,substance abuse/anger management/life skill,Client has anger issues and has hit her father as a result of her anger.,need something,intake,15.0,2,12.0,,-6.9260390560000005,,2.552476247
