ID,Strategy,Progress,Classification,Strategy_Label
SSSEA-0-173-1,finding a tutor to assist client.,No progress,0,Mentorship for school/job readiness
SSSEA-0-173-1,cm will take client to fat burger to fill out an application,Good progress,0,Mentorship for school/job readiness
SSSEA-0-173-1,sent client to 54th & crenshaw youth worksource center,No progress,0,Mentorship for school/job readiness
SSSEA-0-174-1,in house counseling,No progress,0,Mentorship for school/job readiness
SSSEA-0-174-1,cm went to the new fatburger on slauson and crenshaw and was able to collect 15 applications to give out and client was one of them that got hired.,Task/Service successfully completed,0,Mentorship for school/job readiness
SSSEA-0-177-1,cm gave client a flier to attend job readiness orientation on 54th and crenshaw,No progress,0,Mentorship for school/job readiness
SSSEA-0-180-2,cm will give client a discount form and pay for id.,Task/Service successfully completed,0,Mentorship for school/job readiness
SSSEA-0-181-2,therapy,N/A - not applicable to this phase,0,Mentorship for school/job readiness
SSSEA-0-182-1,had client fill out qbs application and submit it.,Task/Service successfully completed,0,Mentorship for school/job readiness
SSSEA-0-184-2,find services for client to get tap cards,N/A - not applicable to this phase,0,Mentorship for school/job readiness
SSSEA-0-185-1,refer him to gbb gave client contact information,No progress,0,Mentorship for school/job readiness
SSSEA-0-202-1,refer client to gbb for gender program so she can look good when she goes to court.,Task/Service successfully completed,0,Mentorship for school/job readiness
SSSEA-0-207-1,cm will give client the discounted ca id form so he can go to dmv and pay only $8.00,No progress,0,Mentorship for school/job readiness
SSSEA-0-212-1,take client to youth worksource center for orientation,Task/Service successfully completed,0,Mentorship for school/job readiness
SSSEA-0-215-1,refer again to job readiness as an indirect i was able to refer her she went to orientation but never went back to follow through.,A Little progress,0,Mentorship for school/job readiness
SSSEA-0-215-1,meet with parents and client let them know about a new charter school for client in inglewood and gave parents flier for orientations,Task/Service successfully completed,0,Mentorship for school/job readiness
SSSEA-0-228-1,cm refer client to sea tutoring classes,N/A - not applicable to this phase,0,Mentorship for school/job readiness
SSSEA-0-228-1,refer her to sea parenting classes for her parents,A Little progress,0,Mentorship for school/job readiness
SSSEA-0-228-1,clt will split her community service hours with gbb and sea gryd,N/A - not applicable to this phase,2,Engage in community service
SSSEA-0-228-1,refer her to gbb for substance abuse classes,N/A - not applicable to this phase,3,Substance abuse/Anger management/Life skill class
SSSEA-0-229-1,take client to dmv.,N/A - not applicable to this phase,0,Mentorship for school/job readiness
SSSEA-0-229-1,worksource center,N/A - not applicable to this phase,0,Mentorship for school/job readiness
SSSEA-0-234-1,give client a discount dmv form so he can get his id,N/A - not applicable to this phase,0,Mentorship for school/job readiness
SSSEA-0-235-1,cm will give client a discounted application so he only has to pay $6.00 for his ca id,N/A - not applicable to this phase,0,Mentorship for school/job readiness
SSSEA-0-240-1,get client enrolled in to stv charter,Task/Service successfully completed,0,Mentorship for school/job readiness
SSSEA-0-242-1,cm will find a school that will fit this clients special needs.,Task/Service successfully completed,0,Mentorship for school/job readiness
SSSEA-0-248-1,cm gave client flier to puente center for ged program,No progress,0,Mentorship for school/job readiness
SSSEA-0-253-1,assist client with youth job,Task/Service successfully completed,0,Mentorship for school/job readiness
SSSEA-0-254-1,have her enroll into leadership program,N/A - not applicable to this phase,0,Mentorship for school/job readiness
SSSEA-0-255-1,client will be attending leadership afterschool program on wednesdays from 4-5,N/A - not applicable to this phase,0,Mentorship for school/job readiness
SSSEA-0-263-1,he can attend the leadership meetings every wednesdays,N/A - not applicable to this phase,0,Mentorship for school/job readiness
SSSEA-0-265-1,enroll her into leadership program,N/A - not applicable to this phase,0,Mentorship for school/job readiness
SSSEA-0-283-1,cm will refer client to write girls program that will help her with her self esteem and writing music.,N/A - not applicable to this phase,0,Mentorship for school/job readiness
SSSEA-0-284-2,client will be referred to youth worksource center,N/A - not applicable to this phase,0,Mentorship for school/job readiness
77th 3-20-12-1,enroll in virtual high school.,Some progress,0,Mentorship for school/job readiness
77th 3-20-75-1,cm gave bus tokens to clt to get to school on the daily basis. ,Task/Service successfully completed,0,Mentorship for school/job readiness
77th 3-20-75-1,cm referred clt to lacyj program for job placement. ,Excellent progress,0,Mentorship for school/job readiness
77th 3-20-79-2,cm gave bus tokens to clt for transportation purposes. ,Task/Service successfully completed,0,Mentorship for school/job readiness
77th 3-20-79-2,cm referred clt to lacyj program for job placement. ,Excellent progress,0,Mentorship for school/job readiness
77th 3-20-91-1,cm will refer clt to job readiness program lacyj which will place her in a job for 120 hours. ,No progress,0,Mentorship for school/job readiness
77th 3-20-91-1,clt started lacyj program (smart and final),Task/Service successfully completed,0,Mentorship for school/job readiness
77th 3-20-91-2,"cm took clt around to different school trying to find a perfect.  schools dont like excepting 12th graders.  king drew is where clt's brother goes but clt could not be excepted, maxine waters is the most likely choice, clt has already scheduled intake.",Some progress,0,Mentorship for school/job readiness
77th 3-20-108-2,cm referred clt to lacyj job readiness program for placement. ,Task/Service successfully completed,0,Mentorship for school/job readiness
77th 3-20-138-1,cm referred clt to lacy j program.  clt qualified and has begun working the week of 11/29/16.,Task/Service successfully completed,0,Mentorship for school/job readiness
77th 3-20-138-1,clt is on probation and is mandated to carry his id.  a second discounted id form was given to the clt.,Good progress,0,Mentorship for school/job readiness
77th 3-20-145-1,clt is going to a cash for college career convention at trade technical college on 11/19/16 from 9-1:30.,Some progress,0,Mentorship for school/job readiness
77th 3-20-146-1,cm referred clt to dcfs shelter services for foster youth. ,A Little progress,0,Mentorship for school/job readiness
77th 3-20-146-1,cm took clt to get id,Task/Service successfully completed,0,Mentorship for school/job readiness
77th 3-20-146-1,cm took clt to get duplicate of social security card. ,Task/Service successfully completed,0,Mentorship for school/job readiness
77th 3-20-146-1,clt is in need of a job. ,Task/Service successfully completed,0,Mentorship for school/job readiness
77th 3-20-146-1,cm feels that la trade technical college is the best fit for this clt.  steps will be take after holiday break to get her enrolled.,Some progress,0,Mentorship for school/job readiness
77th 3-20-166-1,ciw referred clt to in house lacy j program. ,Task/Service successfully completed,0,Mentorship for school/job readiness
77th 3-20-201-1,cm will sit with client and mock interview.,Excellent progress,0,Mentorship for school/job readiness
77th 3-20-201-1,client will be provided with employment opportunities.,Excellent progress,0,Mentorship for school/job readiness
77th 3-20-244-1,client will be referred to jobcorps ,No progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-7-2,enroll ct and ct's daughter in san fernando valley rescue mission for housing and supportive services.,A Little progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-42-2,"recommended counseling or anger management work series, as well as life skills. ",A Little progress,3,Substance abuse/Anger management/Life skill class
Devonshire-Topanga-11-64-1,"recommended client let's parents know, since she still lives at home with both biological parents, and seek prenatal help for a healthy pregnancy.  ",N/A - not applicable to this phase,0,Mentorship for school/job readiness
Devonshire-Topanga-11-88-2,referral to aa classes and counseling with ttc,No progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-89-1,recommended for client to attend ttc services for substance counseling. as well support from his family and girlfriend. ,Some progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-90-1,have requested jose to participate in more pro social activities and mentorship. client is a very bright and we caught him at the right time for changes and positive ones. client is willing to do what it takes to change his behavior and friends.  ,Good progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-97-1,recommended to go to the gym and work out the stress. ciw offered to go with ct. ct said he will give that a try and also go jogging in the late evenings. ,Some progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-98-1,recommended he sign up with ruth youth charter school and continue with education. ,Some progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-99-2,"recommended continuation of participation in workshops that gryd team develops in house, as well as go back to playing baseball, which is a sport the ct use to play. ",Some progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-101-1,has recommended counseling for substance use as well as anger management thru ttc. ct has been attending for a while and has much improved over all.  ,Good progress,3,Substance abuse/Anger management/Life skill class
Devonshire-Topanga-11-101-1,"recommended joined in baseball and arts to create and show emotions, as a coping skill. ",Good progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-101-1,"ct has been attending regularly the art workshops, using it as a coping skills. we recommend the ct continues to attend, as well tarzana treatment services.  ",Good progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-102-1,recommended substance counseling and anger management therapy with ttc. ct accepted. ,Task/Service successfully completed,3,Substance abuse/Anger management/Life skill class
Devonshire-Topanga-11-103-1,referral to counseling with ttc,N/A - not applicable to this phase,0,Mentorship for school/job readiness
Devonshire-Topanga-11-105-2,"recommended counseling with el proyecto, said hours would work out best. ct is excited, really wants to stop behaving wield. ",A Little progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-108-1,"strongly recommend health services thur tarzana treatment center, for emotional issues and substances. ",A Little progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-108-1,"just found out ct enjoys drawing, we recommended he joined the workshops graphing the gryd offers in house, once in awhile, ct liked the idea. ",A Little progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-111-1,"recommended strategy now that the client is a young mom, is to consider taking mommy and me classes and get involved with her old friends from church.  ",Some progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-115-1,one of the strategies recommended is for ct to attend an anger management workshop or accept therapy from inhouse mentors. ,N/A - not applicable to this phase,3,Substance abuse/Anger management/Life skill class
Devonshire-Topanga-11-119-1,recommended life skills and anger management workshop series as well as substance information classes. ,N/A - not applicable to this phase,3,Substance abuse/Anger management/Life skill class
Devonshire-Topanga-11-119-1,recommended services from ttc for substances and depression and anxiety. ,No progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-120-2,family support and school support and programming in mentorship and employment ,Good progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-122-1,recommended a referral with tarzana treatment center for client's anxiety. cognitive behavior therapy is recommended as well as therapy for substance support. ,No progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-123-1,ciw recommend client attend workshop for anger management. ciw will work with client on internal life skills workshops that consist of field trips as well.   ,No progress,3,Substance abuse/Anger management/Life skill class
Devonshire-Topanga-11-125-1,enrollment at providence tattoo removal program.,No progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-129-1,recommended referral with ttc for anger management and substance use. ,Some progress,3,Substance abuse/Anger management/Life skill class
Devonshire-Topanga-11-131-1,"recommended joining an art workshop, to better or to learn how to deal with emotions and expressing them. ",A Little progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-147-2,recommended na meeting for substance abuse. reenrolling to school for hs diploma.  ,A Little progress,3,Substance abuse/Anger management/Life skill class
Devonshire-Topanga-11-152-2,"motivation, client is currently sober. ",Some progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-153-2,client will meet with cm/ ciw regarding custody hearing. client will use legal resources/ ,A Little progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-156-1,"take part of physical activities, such as sports or boxing. ",N/A - not applicable to this phase,0,Mentorship for school/job readiness
Devonshire-Topanga-11-157-1,"met with ct, recommended programs that can help with the use of substances and anger management. ct declined said would rather take a class in boxing or dancing. ciw and cm will look for one. ",N/A - not applicable to this phase,3,Substance abuse/Anger management/Life skill class
Devonshire-Topanga-11-158-1,expression thru the arts or graffiti ,N/A - not applicable to this phase,0,Mentorship for school/job readiness
Devonshire-Topanga-11-160-1,continue encouragement to remain productive on self improvements. ,N/A - not applicable to this phase,0,Mentorship for school/job readiness
Devonshire-Topanga-11-162-1,"as a team, best strategy is recommendation and referral to a rehab treatment facility and mentoring. ",No progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-168-2,to utilize his support system when he encounters  obstacles or issues. ,Some progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-173-1,asked him to really think about how the victims feel when their stuff is taken or stolen. (consequences to actions) ,A Little progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-175-1,"recommended to breath in and out and count back wards as a coping mechanism when ct feels like exploding, also think before acting. ",N/A - not applicable to this phase,0,Mentorship for school/job readiness
Devonshire-Topanga-11-180-1,recommended client to attend anger management classes at tarzana treatment center as well as on line courses. ,N/A - not applicable to this phase,3,Substance abuse/Anger management/Life skill class
Devonshire-Topanga-11-183-1,client to be enrolled in hs and has family support. ,A Little progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-185-1,committed to running his program. ,Some progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-186-1,client will maintain his distance from friends.,No progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-187-1,to keep open communication with family ,No progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-188-1,the team will suggest taking a therapy session with our in home counselors. ,N/A - not applicable to this phase,0,Mentorship for school/job readiness
Devonshire-Topanga-11-193-1,"mentor client as well help with enrolling to a new high school, also connect client to aa classes, client was to cut back on drinking. ",N/A - not applicable to this phase,0,Mentorship for school/job readiness
Devonshire-Topanga-11-193-1,the plan is to refer ct to aa groups since he shared about his drinking problem or counseling with ttc .  ,N/A - not applicable to this phase,0,Mentorship for school/job readiness
Devonshire-Topanga-11-195-1,to write goals regarding school and probation ,A Little progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-198-1,mentorship and referral for tarzana for substances. ,N/A - not applicable to this phase,0,Mentorship for school/job readiness
Devonshire-Topanga-11-199-1,"client has family support, referral for empolyment will be made to good will services. ",A Little progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-200-1,refer ct to aa classes near by and a part time job. ,N/A - not applicable to this phase,0,Mentorship for school/job readiness
Devonshire-Topanga-11-201-1,advised ct about possibly taking aa classes or attending to meetings. ,N/A - not applicable to this phase,0,Mentorship for school/job readiness
Devonshire-Topanga-11-202-1,"recommendation of mentorship, job hunt thru temp agencies and aa meetings. ",N/A - not applicable to this phase,0,Mentorship for school/job readiness
Devonshire-Topanga-11-203-1,mentor participant. participant needs someone to talk to and someone that can help him guide him to better choices.,N/A - not applicable to this phase,0,Mentorship for school/job readiness
Devonshire-Topanga-11-205-1,referral was made by po to wrap around services.,No progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-206-1,client will enroll into pierce college to finish her child development. ,A Little progress,0,Mentorship for school/job readiness
Devonshire-Topanga-11-209-1,client will check in with ciw that has 22 years of substance abuse counseling . ,A Little progress,3,Substance abuse/Anger management/Life skill class
Devonshire-Topanga-11-213-1,using family support.,No progress,0,Mentorship for school/job readiness
Foothill-14-175-2,"assist in complying with probation in the community, and court advocacy",N/A - not applicable to this phase,0,Mentorship for school/job readiness
Foothill-14-175-2,"case manager provided dpo davidoff report of behavioral improvement, and boxing club involvement. ",Excellent progress,0,Mentorship for school/job readiness
Foothill-14-175-2,case manager and ciw are providing educational support and advocacy for eagle rock school enrollment. ,Good progress,0,Mentorship for school/job readiness
Foothill-14-175-2,case manager brought client to north hills office to apply for ca id reduced fee application,Good progress,0,Mentorship for school/job readiness
Foothill-14-227-1,case manager will continue to provide safe passage from home to school and back home. ,Good progress,0,Mentorship for school/job readiness
Foothill-14-227-1,case manager set appointment with school for 9/1/16 for 9:30 am.,Good progress,0,Mentorship for school/job readiness
Foothill-14-227-1,case manager will assist with providing proof to school client was a ward of the court under ab316. was referred to childrens court,Good progress,0,Mentorship for school/job readiness
Foothill-14-294-2,comply with court clerks office to set up payment plan for outstanding tickets,N/A - not applicable to this phase,0,Mentorship for school/job readiness
Foothill-14-294-2,parenting class enrollment within organization,Some progress,0,Mentorship for school/job readiness
Foothill-14-308-2,case manager will assist with providing 10 counseling sessions by due date,Some progress,0,Mentorship for school/job readiness
Foothill-14-308-2,case manager has assigned community service location ,Some progress,2,Engage in community service
Foothill-14-308-2,case manager will encourage client to take hiset test and assist with $110 fee to take exam. ,N/A - not applicable to this phase,0,Mentorship for school/job readiness
Foothill-14-308-2,case manager will assist with providing client with dmv reduced fee form to acquire id. ,N/A - not applicable to this phase,0,Mentorship for school/job readiness
Foothill-14-310-2,accepting consequence for impulsive risk taking. no more driving until he gets driving permit and drivers license,Good progress,0,Mentorship for school/job readiness
Foothill-14-310-2,"putting priorities in order, like enrolling in school to prove responsibility to self and employer in an effort to get job back",Good progress,0,Mentorship for school/job readiness
Foothill-14-310-2,case manager is submitting 3rd cycle petition to gryd rpc for continuation of services given the circumstance of client and girlfriend expecting a child. ,A Little progress,0,Mentorship for school/job readiness
Foothill-14-349-3,"job readiness, resume assistance, job search",Good progress,0,Mentorship for school/job readiness
Foothill-14-377-1,case manager assisted client with birth certificate application from madera county,Good progress,0,Mentorship for school/job readiness
Foothill-14-377-1,case manager assisted client with snl online application,Good progress,0,Mentorship for school/job readiness
Foothill-14-391-1,"case manager will assist with housing rooms for rent, and completing housing application",Some progress,0,Mentorship for school/job readiness
Foothill-14-391-1,"case manager will assist with employment search, online application and mock interviewing",Good progress,0,Mentorship for school/job readiness
Foothill-14-391-1,"case manager will be providing one on one counseling, re-inforcing importance of maintaining sobriety, and also highlighting the effects from excessive use. ",Some progress,0,Mentorship for school/job readiness
Foothill-14-391-1,case manager will provide resource for sr-22 car insurance quote,Some progress,0,Mentorship for school/job readiness
Foothill-14-393-2,"providing alternative school resource for school enrollment, educational support",Some progress,0,Mentorship for school/job readiness
Foothill-14-395-2,case manager and school staff will set up client on contract to maintain school attendance ,A Little progress,0,Mentorship for school/job readiness
Foothill-14-395-2,"case manager will monitor academic work, will also place on contract and provide educational support ",A Little progress,0,Mentorship for school/job readiness
Foothill-14-395-2,"case manager will encourage to be more involved with community in pro-social activities, community engagement in an effort to minimize free time ",A Little progress,0,Mentorship for school/job readiness
Foothill-14-395-2,"case manager will ensure client is accountable and fulfills probation requirements, will provide advocacy as needed",Some progress,0,Mentorship for school/job readiness
Foothill-14-396-1,"anger management classes, therapy sessions",Good progress,3,Substance abuse/Anger management/Life skill class
Foothill-14-400-1,"monthly attendance checks, athletic activity such as boxing, football and job readiness",Some progress,0,Mentorship for school/job readiness
Foothill-14-401-1,"monthly attendance checks, search for athletic activity enrollment",Some progress,0,Mentorship for school/job readiness
Foothill-14-401-1,"provided court advocacy services, parent support, translation services, and transportation",Good progress,0,Mentorship for school/job readiness
Foothill-14-402-1,"school visit for attendance verification, provide transportation to and from school/safe passage, short term goal incentives",Some progress,0,Mentorship for school/job readiness
Foothill-14-402-1,"case manager visited tarzana treatment center for appointment, scheduled for jan 23 2018. ",Some progress,0,Mentorship for school/job readiness
Foothill-14-402-1,case manager assisted with probation advocacy and is now off probation as he has complied with all requirements,Task/Service successfully completed,0,Mentorship for school/job readiness
Foothill-14-410-1,"cm provided tap card resource, drove client to metro/union station to apply for card.",Good progress,0,Mentorship for school/job readiness
Foothill-14-410-1,"be consistent monitor attendance,educational support",Some progress,0,Mentorship for school/job readiness
Foothill-14-410-1,"increase attendance, concentrating with work at hand, turning in school work",Good progress,0,Mentorship for school/job readiness
Foothill-14-410-1,"providing her with tools to become mobile, such as a laptop due to environment at home",Good progress,0,Mentorship for school/job readiness
Foothill-14-410-1,case manager will be providing tap card resource and submit requisition to cover cost of $43 for purchase of card. ,Good progress,0,Mentorship for school/job readiness
Foothill-14-412-1,case manager to provide transportation and court advocacy,A Little progress,0,Mentorship for school/job readiness
Foothill-14-412-1,"case to provide advocacy, support, transportation, for drug treatment",A Little progress,0,Mentorship for school/job readiness
Foothill-14-412-1,"case to provide transportation, attendance tracking educational support",A Little progress,0,Mentorship for school/job readiness
Foothill-14-418-2,"enroll in job training class, machinist",Some progress,0,Mentorship for school/job readiness
Foothill-14-419-1,providing educational support at school,Some progress,0,Mentorship for school/job readiness
Foothill-14-428-1,client will be enrolled in tattoo removal program ,Some progress,0,Mentorship for school/job readiness
Foothill-14-430-1,signed up for tattoo removal treatment,Good progress,0,Mentorship for school/job readiness
Foothill-14-430-1,"job search, job readiness",Good progress,0,Mentorship for school/job readiness
Foothill-14-431-1,tattoo removal referral,A Little progress,0,Mentorship for school/job readiness
Foothill-14-431-1,"job readiness, resume building",Some progress,0,Mentorship for school/job readiness
Foothill-14-432-2,"case manager will assist with job readiness, and job search ",N/A - not applicable to this phase,0,Mentorship for school/job readiness
Foothill-14-432-2,case manager will mentor and provide support for client to disengage from negative peers considering neighborhood boundaries,Some progress,0,Mentorship for school/job readiness
Foothill-14-434-1,anger management,N/A - not applicable to this phase,3,Substance abuse/Anger management/Life skill class
Foothill-14-434-1,"lack of focus, motivation, iep",A Little progress,0,Mentorship for school/job readiness
Foothill-14-437-1,tattoo removal resource,Good progress,0,Mentorship for school/job readiness
Foothill-14-437-1,"monitor attendance, offering educational support, accountability",Good progress,0,Mentorship for school/job readiness
Foothill-14-437-1,"job search, job readiness, online application completion",Some progress,0,Mentorship for school/job readiness
Foothill-14-440-1,"case manager and client are seeking anger management classes, per court order",A Little progress,3,Substance abuse/Anger management/Life skill class
Foothill-14-442-1,"job readiness, resume, job search",Some progress,0,Mentorship for school/job readiness
Foothill-14-442-1,in need of housing,Some progress,0,Mentorship for school/job readiness
Foothill-14-443-1,probation,A Little progress,0,Mentorship for school/job readiness
Foothill-14-443-1,recommend tattoo removal enrollment,A Little progress,0,Mentorship for school/job readiness
Foothill-14-444-1,"job search, complete online application for snl job opportunity",Some progress,0,Mentorship for school/job readiness
Foothill-14-444-1,educational support at school,Some progress,0,Mentorship for school/job readiness
Foothill-14-445-1,educational support for school enrollment,A Little progress,0,Mentorship for school/job readiness
Foothill-14-445-1,anger management classes ,N/A - not applicable to this phase,3,Substance abuse/Anger management/Life skill class
Foothill-14-445-1,assist with community service enrollment and completion of 100 hrs. ,N/A - not applicable to this phase,2,Engage in community service
Foothill-14-446-1,assist with gang counseling requirement in house,A Little progress,0,Mentorship for school/job readiness
Foothill-14-446-1,"comply with probation requirements, cm to provide advocacy",Some progress,0,Mentorship for school/job readiness
Foothill-14-447-1,provide transportation to from home to school and back,Good progress,0,Mentorship for school/job readiness
Foothill-14-450-1,place on attendance contract in an effort to improve ,A Little progress,0,Mentorship for school/job readiness
Foothill-14-451-1,"put attendance contract in place, provide transportation as needed in an effort to improve attendance. ",A Little progress,0,Mentorship for school/job readiness
Foothill-14-455-1,referred to the village for housing assistance,Some progress,0,Mentorship for school/job readiness
Foothill-14-455-1,"assist with employment job readiness, will be applying for snl",Some progress,0,Mentorship for school/job readiness
Foothill-14-456-1,case manager set appointment for phoenix house assessment ,A Little progress,0,Mentorship for school/job readiness
Foothill-14-456-1,engage client in community engagement social activities in an effort to reduce time spent in neighborhood ,A Little progress,0,Mentorship for school/job readiness
Foothill-14-457-1,case manager assisted with housing the village is currently working on housing situation,Some progress,0,Mentorship for school/job readiness
Foothill-14-457-1,"case manager assisted with online job search, applied for snl, submitted application online.",Some progress,0,Mentorship for school/job readiness
Foothill-14-458-1,case manager will assist with job readiness and job search tools,N/A - not applicable to this phase,0,Mentorship for school/job readiness
Foothill-14-460-1,assist with finding school and get enrolled,Some progress,0,Mentorship for school/job readiness
Foothill-14-460-1,case manager will be visiting another school on 01/14/2019,Good progress,0,Mentorship for school/job readiness
Foothill-14-461-1,case manager will provide educational support and school advocacy for enrollment,A Little progress,0,Mentorship for school/job readiness
Foothill-14-461-1,cm will visit school when it is back in session 01/14/19. cm will continue services as needed.,Good progress,0,Mentorship for school/job readiness
Foothill-14-462-1,"case manager will assist with job readiness, job search",N/A - not applicable to this phase,0,Mentorship for school/job readiness
Foothill-14-467-1,monitor school attendance,A Little progress,0,Mentorship for school/job readiness
Foothill-14-467-1,community involvement in activities in an effort to withdraw from negative influences,A Little progress,0,Mentorship for school/job readiness
Foothill-14-472-1,case manager will be assisting with safe passage to and from school in an effort to stay safe in neighborhood,Some progress,0,Mentorship for school/job readiness
Foothill-14-473-1,"case manager will provide educational support, closely monitor attendance",A Little progress,0,Mentorship for school/job readiness
Foothill-14-474-2,case manager will provide substance abuse resources,N/A - not applicable to this phase,3,Substance abuse/Anger management/Life skill class
Foothill-14-477-1,case manager will collaborate with school staff in an effort to improve academically,N/A - not applicable to this phase,0,Mentorship for school/job readiness
Foothill-14-477-1,case manager will assist in encouraging client to engage in pro-social activities to decrease involvement,A Little progress,0,Mentorship for school/job readiness
Foothill-14-478-1,"case manager will provide encouragement, educational/academic support",N/A - not applicable to this phase,0,Mentorship for school/job readiness
Foothill-14-479-1,"case manager will assist with school enrollment, behavioral challenges ",N/A - not applicable to this phase,0,Mentorship for school/job readiness
Foothill-14-479-1,"case manager has been encouraging importance education, credit recovery ",Good progress,0,Mentorship for school/job readiness
Foothill-14-481-2,case manager guide and mentor in an effort to minimize involvement with negative peers,Some progress,0,Mentorship for school/job readiness
Foothill-14-481-2,"case manager will assist with job readiness, job search and mentoring",N/A - not applicable to this phase,0,Mentorship for school/job readiness
Foothill-14-481-2,case manager provided with interview clothing expense. ,Excellent progress,0,Mentorship for school/job readiness
Foothill-14-485-1,"case manager will monitor attendance, behavior and meet regularly ",A Little progress,0,Mentorship for school/job readiness
Foothill-14-487-1,now we have to work with him to determine that can put it school to continue his studies.,Some progress,0,Mentorship for school/job readiness
Foothill-14-487-1,ciw will submit request to gryd for clothing expense,Good progress,0,Mentorship for school/job readiness
Foothill-14-487-1,ciw took client to purchase clothes for school with approval from gryd to purchase. ,Task/Service successfully completed,0,Mentorship for school/job readiness
Foothill-14-489-1,ciw will assist with employment search. ,A Little progress,0,Mentorship for school/job readiness
Foothill-14-490-1,case manager will assist with providing tools and advocacy with probation as needed,N/A - not applicable to this phase,0,Mentorship for school/job readiness
Foothill-14-490-1,"case manager will provide job readiness tools, and job search ",N/A - not applicable to this phase,0,Mentorship for school/job readiness
Foothill-14-490-1,case manager will assist with providing additional support in an effort  re-integrate in the community,A Little progress,0,Mentorship for school/job readiness
Foothill-14-491-1,ciw will assist with probation advocacy in an effort to get off probation ,Some progress,0,Mentorship for school/job readiness
