GRYD_ETO_ID,S6b_Other_Activities,S11a_Comments,A1_Description,A2_Description,A3_Description,O1_other_group_name,Group_name_part1,PUSH_1,PULL_1,text_all,Emotion
Northeast-20-161-1,GRYD activites/parenting classes,Dealing with DCFS,,,,No other group,Bagos,People/friends getting injured,Losing my kids to DCFS,"Northeast-20-161-1,GRYD activites/parenting classes,Dealing with DCFS,No other group,Bagos,People/friends getting injured,Losing my kids to DCFS",neutral
NHSEA-0-348-2,Church and working out,Mother passed away,School friends,Church,Childhood friends,Childhood friends,No group,,,"NHSEA-0-348-2,Church and working out,Mother passed away,School friends,Church,Childhood friends,Childhood friends,No group",sadness
Newton 1-17-76-1,,Relationship issues,,,,No other group,No group,,,"Newton 1-17-76-1,Relationship issues,No other group,No group",sadness
77th 3-20-69-1,,My brother going to jail,Public,,My friends,Friends,No group,,,"77th 3-20-69-1,My brother going to jail,Public,My friends,Friends,No group",sadness
Hollenbeck 2-20-1-2,Going to library or park,Doesn't want to say,,,,No other group,No group,,,"Hollenbeck 2-20-1-2,Going to library or park,Doesn't want to say,No other group,No group",fear
Harbor-21-125-1,,Almost homeless,,,Friends,No other group,Homies,Nothing,Having a baby,"Harbor-21-125-1,Almost homeless,Friends,No other group,Homies,Nothing,Having a baby",fear
77th 1-16-37-2,,Not being in school,GRYD,,,GRYD,Crips,The streets and experiences of what can happen within these dangerous streets at night.,Success and living healthier.,"77th 1-16-37-2,Not being in school,GRYD,GRYD,Crips,The streets and experiences of what can happen within these dangerous streets at night.,Success and living healthier.",sadness
Newton 2-23-66-1,Church,My friend was approached and threatened for his phone. Police were called. I was present.,"School friends, GRYD Program",,,School,No group,,,"Newton 2-23-66-1,Church,My friend was approached and threatened for his phone. Police were called. I was present.,School friends, GRYD Program,School,No group",fear
Southwest 2-23-54-1,,"Housing problems, family issues (mom went to jail), separation",Job related,Cheer/Dance tumbling,"football players, cheer friends",Football,No group,,,"Southwest 2-23-54-1,Housing problems, family issues (mom went to jail), separation,Job related,Cheer/Dance tumbling,football players, cheer friends,Football,No group",sadness
77th 1-16-16-1,GRYD,Family problem/everything is stressful I have anxiety,GRYD,,,GRYD,4 People,Nothing,Low key finding a job that will remove time w/friends,"77th 1-16-16-1,GRYD,Family problem/everything is stressful I have anxiety,GRYD,GRYD,4 People,Nothing,Low key finding a job that will remove time w/friends",fear
Hollenbeck 2-20-146-2,Church and life workshop w/ GRYD,Brother got busted,GRYD,,,GRYD,Childhood friends,"Yes - death of a friend, Chris","Got into it with my ""so called friends""","Hollenbeck 2-20-146-2,Church and life workshop w/ GRYD,Brother got busted,GRYD,GRYD,Childhood friends,Yes - death of a friend, Chris,Got into it with my ""so called friends""",sadness
77th 1-16-10-1,GRYD,My mother leaving to Mexico. I was close to her feel lonely. Love is not strong enough.,,,Yes only jada and her family,School friends,2 Friends,"My big brother being in jail, not having my little sister and mom hurts me so much I sometimes wanna be away from everybody",None,"77th 1-16-10-1,GRYD,My mother leaving to Mexico. I was close to her feel lonely. Love is not strong enough.,Yes only jada and her family,School friends,2 Friends,My big brother being in jail, not having my little sister and mom hurts me so much I sometimes wanna be away from everybody,None",sadness
77th 1-16-17-1,GRYD,Put down all the time by my sisters. School + working is stressful.,Job,GRYD,,Co-workers,Friends,Nothing,Yes working a job,"77th 1-16-17-1,GRYD,Put down all the time by my sisters. School + working is stressful.,Job,GRYD,Co-workers,Friends,Nothing,Yes working a job",sadness
Harbor-21-126-1,"Volunteer, running, self-discipline",Fighting with dad,Running group,Swim/Running,LGBT center,Running group,Cholos,As I got older I was thinking more of myself and caring more about school than getting warned about the law,Sports have been helping me. Another reason I stopped hanging out was my dad did not support me.,"Harbor-21-126-1,Volunteer, running, self-discipline,Fighting with dad,Running group,Swim/Running,LGBT center,Running group,Cholos,As I got older I was thinking more of myself and caring more about school than getting warned about the law,Sports have been helping me. Another reason I stopped hanging out was my dad did not support me.",fear
Newton 2-23-103-1,VOA Life skills and boxing at South LS boxing,Disconnection in relationship with father,School friends,Boxing,VOA,Volunteers of America (GRYD),No group,,,"Newton 2-23-103-1,VOA Life skills and boxing at South LS boxing,Disconnection in relationship with father,School friends,Boxing,VOA,Volunteers of America (GRYD),No group",sadness
77th 2-13-1302-1,,Shot at,,,,No other group,No group,,,"77th 2-13-1302-1,Shot at,No other group,No group",fear
Southwest 1-15-256-1,"Reading, time with kids","Mother got sick (fiber myalgia [sic]), step father (cancer), and grand mother got sick (dementia)",,,,No other group,Group,"Yes, deaths, unnecessary jail visits",Getting a job,"Southwest 1-15-256-1,Reading, time with kids,Mother got sick (fiber myalgia [sic]), step father (cancer), and grand mother got sick (dementia),No other group,Group,Yes, deaths, unnecessary jail visits,Getting a job",sadness
77th 1-16-13-1,GRYD,Moved out of my parents house,School friends,,,School friends,Random,Nothing,Started working and have no time for friends,"77th 1-16-13-1,GRYD,Moved out of my parents house,School friends,School friends,Random,Nothing,Started working and have no time for friends",sadness
NHSEA-0-217-2,Hangs out at the park,Getting arrest,,,,No other group,Boys,"Being on probatoin, fear scared when sees police",Being on probation,"NHSEA-0-217-2,Hangs out at the park,Getting arrest,No other group,Boys,Being on probatoin, fear scared when sees police,Being on probation",neutral
BVCB-0-215-3,"Working, basketball",Homies were killed,,,,No name,52nd St. Bloods,,,"BVCB-0-215-3,Working, basketball,Homies were killed,No name,52nd St. Bloods",neutral
Devonshire-Topanga-11-8-1,,Taking care of my son,Youth build friends from school,,,Youthbuild friends,No group,,,"Devonshire-Topanga-11-8-1,Taking care of my son,Youth build friends from school,Youthbuild friends,No group",neutral
77th 2-13-1297-1,,Shot at,,,,No other group,No group,,,"77th 2-13-1297-1,Shot at,No other group,No group",fear
Southwest 1-15-246-1,"Black student union, photography for school year book.",My parents divorced 2-3 years.,,,,No other group,No group,,,"Southwest 1-15-246-1,Black student union, photography for school year book.,My parents divorced 2-3 years.,No other group,No group",neutral
Hollenbeck 2-20-56-2,,"Month ago, friend shot now parralyzed [sic]",School friends,,Friends,School friends,No group,,,"Hollenbeck 2-20-56-2,Month ago, friend shot now parralyzed [sic],School friends,Friends,School friends,No group",fear
Newton 1-17-100-1,Dance class,Family issues,Friends from cadets,Soccer,Church group,cadets,No group,,,"Newton 1-17-100-1,Dance class,Family issues,Friends from cadets,Soccer,Church group,cadets,No group",sadness
Newton 2-23-104-1,Life skills/workshops,Cousin died in car accident,VOA,,,Volunteers of America (GRYD),No group,,,"Newton 2-23-104-1,Life skills/workshops,Cousin died in car accident,VOA,Volunteers of America (GRYD),No group",sadness
Mission-19-20-2,,"Going to jail, not having a good relationship and leaving child for 6-8 months",,,Friends,Friends,Friends,,"Cousin, coming to me taking me to church and preaching to me on how life is supposed to be","Mission-19-20-2,Going to jail, not having a good relationship and leaving child for 6-8 months,Friends,Friends,Friends,Cousin, coming to me taking me to church and preaching to me on how life is supposed to be",sadness
77th 1-16-49-1,GRYD,Coming home always arguing with my dad and school trying hard but sometimes I don't do anything right and just going through hard time at home.,,GRYD,,GRYD,Friends,Nothing,Yes from having a job,"77th 1-16-49-1,GRYD,Coming home always arguing with my dad and school trying hard but sometimes I don't do anything right and just going through hard time at home.,GRYD,GRYD,Friends,Nothing,Yes from having a job",sadness
77th 1-16-58-1,GRYD,Not having a job really stresses me out,,GRYD,,GRYD,SEA,Nothing,No,"77th 1-16-58-1,GRYD,Not having a job really stresses me out,GRYD,GRYD,SEA,Nothing,No",sadness
77th 3-20-59-2,Playing basketball,My auntie passed a couple months ago,School friends,,,Friends at school,No group,,,"77th 3-20-59-2,Playing basketball,My auntie passed a couple months ago,School friends,Friends at school,No group",sadness
CPHBRE-0-3-1,,Break up,,,,Homeboy Friends,Homies,I don't want to go back to jail,Having a job,"CPHBRE-0-3-1,Break up,Homeboy Friends,Homies,I don't want to go back to jail,Having a job",sadness
Devonshire-Topanga-11-7-1,"Getting nails done, doctors appoint.",Found out she was pregnant,,,,No name,No group,,,"Devonshire-Topanga-11-7-1,Getting nails done, doctors appoint.,Found out she was pregnant,No name,No group",joy
Southeast 1-22-6-1,Volunteer work,The loss of close friends,,,Friends,Friends,No group,,,"Southeast 1-22-6-1,Volunteer work,The loss of close friends,Friends,Friends,No group",sadness
Southeast 1-22-43-1,Workout,Not having a job son being injured,Workout fam,,,Workout fam,No group,,,"Southeast 1-22-43-1,Workout,Not having a job son being injured,Workout fam,Workout fam,No group",fear
Southeast 1-22-29-1,Life skills workshop,Losing father,,,,No other group,No group,,,"Southeast 1-22-29-1,Life skills workshop,Losing father,No other group,No group",sadness
CPHBRE-0-39-1,"College, anger management, 12 step, criminals and gangs anon. fire crew","Living situation, loss of friends, school",Co-workers,Forrest fire crew,,Associates,Homies,All of my friends are going to jail or getting shot and killed.,"Attending college, work and going new places","CPHBRE-0-39-1,College, anger management, 12 step, criminals and gangs anon. fire crew,Living situation, loss of friends, school,Co-workers,Forrest fire crew,Associates,Homies,All of my friends are going to jail or getting shot and killed.,Attending college, work and going new places",sadness
Southwest 1-15-258-1,,One of my friends is in the hospital and is dying from a STD,,,,No other group,Group,"It was just snitches. People telling, they cracked under pressure. They weren't who I thought they were.",Graduating high school. It made me feel more confident.,"Southwest 1-15-258-1,One of my friends is in the hospital and is dying from a STD,No other group,Group,It was just snitches. People telling, they cracked under pressure. They weren't who I thought they were.,Graduating high school. It made me feel more confident.",sadness
Hollenbeck 1-20-49-2,,Attending school,,,Friends,No name,,,,"Hollenbeck 1-20-49-2,Attending school,Friends,No name",neutral
Newton 2-23-26-1,,"Moving, loss of parent",School,,GRYD Program,School,No group,,,"Newton 2-23-26-1,Moving, loss of parent,School,GRYD Program,School,No group",sadness
Devonshire-Topanga-11-3-2,AnT. Music. Condishing,Social life. Stressing out. Relationship,Art's counseling music,Fresh start,,G.R.Y.D group After school group,C-Block,No I really don't let losses or pain interfere with my love towards others,Yes bad habits that they had pushed me away causing the group to unbalance,"Devonshire-Topanga-11-3-2,AnT. Music. Condishing,Social life. Stressing out. Relationship,Art's counseling music,Fresh start,G.R.Y.D group After school group,C-Block,No I really don't let losses or pain interfere with my love towards others,Yes bad habits that they had pushed me away causing the group to unbalance",fear
Devonshire-Topanga-11-4-2,Bible studying kicking back,School/work,Park/street's,,GRYD,Group of Friends,Group,"""Nothing has happen.""","""By focusing in school, I lost contact with alot of my old friends, also just working and not having time to hangout and I think GRYD has a huge impact in my life as well""","Devonshire-Topanga-11-4-2,Bible studying kicking back,School/work,Park/street's,GRYD,Group of Friends,Group,""Nothing has happen."",""By focusing in school, I lost contact with alot of my old friends, also just working and not having time to hangout and I think GRYD has a huge impact in my life as well""",joy
Southeast 3-10-108-1,,Not having dad around,School friends,,,School friends,No group,,,"Southeast 3-10-108-1,Not having dad around,School friends,School friends,No group",sadness
Devonshire-Topanga-11-15-1,"Read, exercise, meditate, chill",Started hanging out with ally cats. Relationship is over.,School friends,GRYD,Gangs black gangs,Youth Build,No group,,,"Devonshire-Topanga-11-15-1,Read, exercise, meditate, chill,Started hanging out with ally cats. Relationship is over.,School friends,GRYD,Gangs black gangs,Youth Build,No group",sadness
Newton 2-23-67-1,"Tutoring, life skills at school campus (college) church with family",Separted from father,School,GRYD Basketball,,GRYD,No group,,,"Newton 2-23-67-1,Tutoring, life skills at school campus (college) church with family,Separted from father,School,GRYD Basketball,GRYD,No group",fear
Southwest 1-15-263-1,"Creating music, studying history, studying music, trying to be open minded, being open to different perspectives, working out.","Dealing with envious/jealous people. Housing issues, people trying to stop my growth, being unstable and lack of resources.",In the neighborhood,,Leimert Park,Other group,No group,,,"Southwest 1-15-263-1,Creating music, studying history, studying music, trying to be open minded, being open to different perspectives, working out.,Dealing with envious/jealous people. Housing issues, people trying to stop my growth, being unstable and lack of resources.,In the neighborhood,Leimert Park,Other group,No group",anger
Southeast 1-22-9-1,,Client declines to disclose,School,,Friends,Friends,No group,,,"Southeast 1-22-9-1,Client declines to disclose,School,Friends,Friends,No group",fear
Newton 1-17-120-1,,He has been shot at,,,,No other group,Homies,My brother is in jail,I was in juvenile hall,"Newton 1-17-120-1,He has been shot at,No other group,Homies,My brother is in jail,I was in juvenile hall",neutral
Southwest 2-23-57-1,,Arrested,,,,GRYD,No group,,,"Southwest 2-23-57-1,Arrested,GRYD,No group",sadness
Devonshire-Topanga-11-5-1,Read book,Everyday life,,,,No other group,No group,,,"Devonshire-Topanga-11-5-1,Read book,Everyday life,No other group,No group",neutral
Southeast 3-10-111-1,,Finding a job and a place,,,,No other group,No group,,,"Southeast 3-10-111-1,Finding a job and a place,No other group,No group",joy
Northeast-20-106-2,Boxing,Family member went to prison for 7 years.,Football teammates,School football team.,,Friends,No group,,,"Northeast-20-106-2,Boxing,Family member went to prison for 7 years.,Football teammates,School football team.,Friends,No group",sadness
Newton 1-17-107-1,Volunteer in the community,Got into fight at school,School,,,School,No group,,,"Newton 1-17-107-1,Volunteer in the community,Got into fight at school,School,School,No group",anger
Southwest 1-15-269-1,Studying and working in the culinary arts,Close friends gotten killed also job stabilitiy.,Church/CBI,GRYD CBI,Coworkers/Church/CBI,GYRD CBInc,Group,No,No,"Southwest 1-15-269-1,Studying and working in the culinary arts,Close friends gotten killed also job stabilitiy.,Church/CBI,GRYD CBI,Coworkers/Church/CBI,GYRD CBInc,Group,No,No",sadness
Devonshire-Topanga-11-12-2,"Reading books, watching videos",Fake people acting like they care but they don't,School friends,G.R.Y.D full vision,Community,Community,Homies,"""He was out to much then they decided to tell me I've been around for a while they told me to get in the hood.""","I felt good not hanging out with them, my dad being more strict","Devonshire-Topanga-11-12-2,Reading books, watching videos,Fake people acting like they care but they don't,School friends,G.R.Y.D full vision,Community,Community,Homies,""He was out to much then they decided to tell me I've been around for a while they told me to get in the hood."",I felt good not hanging out with them, my dad being more strict",sadness
Newton 2-23-97-1,,My mom struggles to pay the rent.,,,,No other group,No group,,,"Newton 2-23-97-1,My mom struggles to pay the rent.,No other group,No group",sadness
