ID,Problem,Strategy,Progress,Problem_Classification,Problem_Label
SSSEA-0-180-2,client needs ca id so she can look for a summer job.,CM will give client a discount form and pay for ID.,Task/Service successfully completed,0,Emotional/behavior issues
SSSEA-0-181-2,understanding where anger comes from.,Therapy,N/A - not applicable to this phase,0,Emotional/behavior issues
SSSEA-0-182-1,he needs a job to stay focus to make honest money.,HAD CLIENT FILL OUT QBS APPLICATION AND SUBMIT IT.,Task/Service successfully completed,0,Emotional/behavior issues
SSSEA-0-184-2,needs a tap card so he can get on the bus to school since he has no money.,find services for client to get tap cards,N/A - not applicable to this phase,0,Emotional/behavior issues
SSSEA-0-185-1,he has anger issues and need help with that.,Refer him to GBB gave client contact information,No progress,0,Emotional/behavior issues
SSSEA-0-202-1,get off of probation,REFER CLIENT TO GBB FOR GENDER PROGRAM SO SHE CAN LOOK GOOD WHEN SHE GOES TO COURT.,Task/Service successfully completed,0,Emotional/behavior issues
SSSEA-0-207-1,student said he is in need in a ca id,CM will give client the discounted CA ID form so he can go to DMV and pay only $8.00,No progress,0,Emotional/behavior issues
SSSEA-0-212-1,she needs a job to stay out of trouble.,take client to youth worksource center for orientation,Task/Service successfully completed,0,Emotional/behavior issues
SSSEA-0-215-1,she needs a job and the target is for her to enroll fully into the youth worksource center and for cm to find job leads for her.,refer again to job readiness as an indirect I was able to refer her she went to orientation but never went back to follow through.,A Little progress,0,Emotional/behavior issues
SSSEA-0-215-1,needs to be in a regular school structure because she isn't doing great on the home studies,meet with parents and client let them know about a new charter school for client in Inglewood and gave parents flier for orientations,Task/Service successfully completed,0,Emotional/behavior issues
SSSEA-0-228-1,tutoring needs to understand reading,CM refer client to SEA Tutoring classes,N/A - not applicable to this phase,0,Emotional/behavior issues
SSSEA-0-228-1,parenting classes for her parents ,refer her to sea parenting classes for her parents,A Little progress,0,Emotional/behavior issues
SSSEA-0-228-1,community service 100 hours,CLT will split her community service hours with GBB and SEA GRYD,N/A - not applicable to this phase,5,Need to complete community service hours for probation requirements
SSSEA-0-228-1,substance abuse,Refer her to GBB for Substance Abuse Classes,N/A - not applicable to this phase,0,Emotional/behavior issues
SSSEA-0-229-1,ca id and license,take client to DMV.,N/A - not applicable to this phase,0,Emotional/behavior issues
SSSEA-0-229-1,need a job,worksource center,N/A - not applicable to this phase,0,Emotional/behavior issues
SSSEA-0-234-1,he needs a ca id,give client a discount DMV form so he can get his ID,N/A - not applicable to this phase,0,Emotional/behavior issues
SSSEA-0-235-1,client needs a ca id,CM will give client a discounted application so he only has to pay $6.00 for his CA ID,N/A - not applicable to this phase,0,Emotional/behavior issues
SSSEA-0-240-1,she is a high school drop out and she needs to be enrolled in a credit restoration school.,get client enrolled in to STV Charter,Task/Service successfully completed,4,Need assistance with school enrollment/improving school grades
SSSEA-0-242-1,client needs to enroll into school to get his high school diploma,CM will find a school that will fit this clients special needs.,Task/Service successfully completed,4,Need assistance with school enrollment/improving school grades
SSSEA-0-248-1,needs to get his ged cm referred him to crenshaw adult school,CM GAVE CLIENT FLIER TO PUENTE CENTER FOR GED PROGRAM,No progress,0,Emotional/behavior issues
SSSEA-0-253-1,she needs a job,assist client with youth job,Task/Service successfully completed,0,Emotional/behavior issues
SSSEA-0-254-1,she wants to change her attitude ,have her enroll into leadership program,N/A - not applicable to this phase,0,Emotional/behavior issues
SSSEA-0-255-1,she has a problem not setting goals,client will be attending Leadership Afterschool Program on Wednesdays from 4-5,N/A - not applicable to this phase,0,Emotional/behavior issues
SSSEA-0-263-1,he needs a mentor so keep him on the right track.,He can attend the Leadership Meetings every Wednesdays,N/A - not applicable to this phase,0,Emotional/behavior issues
SSSEA-0-265-1,wants to stay positive,enroll her into leadership program,N/A - not applicable to this phase,0,Emotional/behavior issues
SSSEA-0-283-1,wants to learn to write music that will help me get out of trouble,CM will refer client to Write Girls program that will help her with her self esteem and writing music.,N/A - not applicable to this phase,0,Emotional/behavior issues
SSSEA-0-284-2,she needs a job,client will be referred to Youth Worksource Center,N/A - not applicable to this phase,0,Emotional/behavior issues
77th 3-20-12-1,client just gave birth.  needs to enroll in school.,Enroll in Virtual High School.,Some progress,4,Need assistance with school enrollment/improving school grades
77th 3-20-75-1,client does not have transportation to school. ,CM gave bus tokens to CLT to get to school on the daily basis. ,Task/Service successfully completed,4,Need assistance with school enrollment/improving school grades
77th 3-20-75-1,clt does not have a job,CM referred CLT to LACYJ program for job placement. ,Excellent progress,0,Emotional/behavior issues
77th 3-20-79-2,clt does not have transportation. ,CM gave bus tokens to CLT for transportation purposes. ,Task/Service successfully completed,0,Emotional/behavior issues
77th 3-20-79-2,clt does not have a job. ,CM referred CLT to LACYJ program for job placement. ,Excellent progress,0,Emotional/behavior issues
77th 3-20-91-1,client does not have a job and is in need of financial help,CM will refer CLT to Job Readiness program LACYJ which will place her in a job for 120 hours. ,No progress,0,Emotional/behavior issues
77th 3-20-91-1,client does not have a job and is in need of financial help,CLT started LACYJ program (Smart and Final),Task/Service successfully completed,0,Emotional/behavior issues
77th 3-20-91-2,clt wants to graduate from a public school and want to transfer school cause sea graduates in march and the clt wants a traditional june graduation.,"CM took CLT around to different school trying to find a perfect.  Schools dont like excepting 12th graders.  King Drew is where CLT's brother goes but CLT could not be excepted, Maxine Waters is the most likely choice, CLT has already scheduled intake.",Some progress,4,Need assistance with school enrollment/improving school grades
77th 3-20-108-2,client is in need of a job. ,CM referred CLT to LACYJ job readiness program for placement. ,Task/Service successfully completed,0,Emotional/behavior issues
77th 3-20-138-1,clt need employment to help occupy his free time.  clt is on active probation.  cm and ciw plan to assist the clt.,CM referred CLT to Lacy J Program.  CLT qualified and has begun working the week of 11/29/16.,Task/Service successfully completed,0,Emotional/behavior issues
77th 3-20-138-1,"clt is having trouble getting his id, and need assistance.",CLT is on probation and is mandated to carry his ID.  a second discounted ID form was given to the CLT.,Good progress,0,Emotional/behavior issues
77th 3-20-145-1,needs information about college. as well as fasfa and ,CLT is going to a Cash for college career convention at Trade Technical college on 11/19/16 from 9-1:30.,Some progress,0,Emotional/behavior issues
77th 3-20-146-1,client is currently homeless. ,CM referred CLT to DCFS Shelter services for Foster youth. ,A Little progress,0,Emotional/behavior issues
77th 3-20-146-1,client is in need of id,CM took CLT to get ID,Task/Service successfully completed,0,Emotional/behavior issues
77th 3-20-146-1,client is in need of social security card. ,CM took CLT to get duplicate of Social Security Card. ,Task/Service successfully completed,0,Emotional/behavior issues
77th 3-20-146-1,"due to clt being homeless, clt is in need of a job for stable income. ",CLT is in need of a job. ,Task/Service successfully completed,0,Emotional/behavior issues
77th 3-20-146-1,clt wants to get her ged.  cm and ciw are both seeking a correct fit.,CM feels that LA Trade Technical College is the best fit for this CLT.  Steps will be take after holiday break to get her enrolled.,Some progress,0,Emotional/behavior issues
77th 3-20-166-1,clt needed a job because family income was very low and the extra money would really the household as well as the clt's confidence.,CIW referred CLT to in house Lacy J Program. ,Task/Service successfully completed,0,Emotional/behavior issues
77th 3-20-201-1,client needs interview etiquette training.,CM will sit with client and mock interview.,Excellent progress,0,Emotional/behavior issues
77th 3-20-201-1,client is unemployed.,Client will be provided with employment opportunities.,Excellent progress,0,Emotional/behavior issues
77th 3-20-244-1,need housing ,Client will be referred to jobcorps ,No progress,0,Emotional/behavior issues
Devonshire-Topanga-11-7-2,"ct is currently homeless, living with mother and daughter at friend's apartment.",Enroll ct and ct's daughter in San Fernando Valley Rescue Mission for housing and supportive services.,A Little progress,0,Emotional/behavior issues
Devonshire-Topanga-11-42-2,"ct has poor judgment of self actions, driving reckless without a license and has anger management issues, which cause him to get in trouble with the law. ","Recommended counseling or anger management work series, as well as Life skills. ",A Little progress,0,Emotional/behavior issues
Devonshire-Topanga-11-64-1,client just told cm that she just found out that she is 2 months pregnant and has been using substance all along. as of last week she just stopped using. ,"Recommended client let's parents know, since she still lives at home with both biological parents, and seek prenatal help for a healthy pregnancy.  ",N/A - not applicable to this phase,0,Emotional/behavior issues
Devonshire-Topanga-11-88-2,"substance use, drinking alcohol and now getting into using meth, aside from smoking pot on a regular basis. hanging out with affiliated members in hot spots. ",Referral to AA classes and counseling with TTC,No progress,0,Emotional/behavior issues
Devonshire-Topanga-11-89-1,client's biggest issue is that he uses substance and just found out he is going to be a father and is still a minor. ,Recommended for client to attend TTC services for substance counseling. AS well support from his family and girlfriend. ,Some progress,0,Emotional/behavior issues
Devonshire-Topanga-11-90-1,clients biggest issue is the negative influences he currently has with hanging out with affiliated friends. ,Have requested Jose to participate in more pro social activities and mentorship. Client is a very bright and we caught him at the right time for changes and positive ones. Client is willing to do what it takes to change his behavior and friends.  ,Good progress,0,Emotional/behavior issues
Devonshire-Topanga-11-97-1,emotional mood swings and feeling the pressure of getting involved in negative activities in the community. posses a big problem. ,Recommended to go to the gym and work out the stress. CIW offered to go with CT. CT said he will give that a try and also go jogging in the late evenings. ,Some progress,0,Emotional/behavior issues
Devonshire-Topanga-11-98-1,hanging out with gang affiliated friends out on the streets and not going to school ,Recommended he sign up with Ruth Youth Charter school and continue with education. ,Some progress,0,Emotional/behavior issues
Devonshire-Topanga-11-99-2,"impulsive risk taking, drinking alcohol and hanging out with negative peers. ","Recommended continuation of participation in workshops that gryd team develops in house, as well as go back to playing baseball, which is a sport the CT use to play. ",Some progress,0,Emotional/behavior issues
Devonshire-Topanga-11-101-1,ct's problem is that he was selling substances and is usually under the influence. bad behavior and hanging out with gang affiliated individuals. ,Has recommended counseling for substance use as well as anger management thru TTC. CT has been attending for a while and has much improved over all.  ,Good progress,0,Emotional/behavior issues
Devonshire-Topanga-11-101-1,ct's problem is that he was selling substances and is usually under the influence. bad behavior and hanging out with gang affiliated individuals. ,"Recommended joined in baseball and arts to create and show emotions, as a coping skill. ",Good progress,0,Emotional/behavior issues
Devonshire-Topanga-11-101-1,"impulsive behavior, still hanging out with gang affiliated members and par taking in activities. ","CT has been attending regularly the art workshops, using it as a coping skills. We recommend the CT continues to attend, as well Tarzana Treatment services.  ",Good progress,0,Emotional/behavior issues
Devonshire-Topanga-11-102-1,"misuse of substances and alcohol, which have cause ct to have anger issues. having outbursts and using profanity and yelling at others. ",Recommended substance counseling and anger management therapy with TTC. CT accepted. ,Task/Service successfully completed,0,Emotional/behavior issues
Devonshire-Topanga-11-103-1,"ct involved in substances, is part of a known gang, continues to surround himself. ",referral to counseling with TTC,N/A - not applicable to this phase,0,Emotional/behavior issues
Devonshire-Topanga-11-105-2,"ct has issues with anger and very explosive, ct continues to hang out with affiliated members of the community and gets in trouble. goal is to have ct disconnect herself.","Recommended counseling with El Proyecto, said hours would work out best. CT is excited, really wants to stop behaving wield. ",A Little progress,0,Emotional/behavior issues
Devonshire-Topanga-11-108-1,ct has both emotional and behavior issues. which have caused him to associate or be part of a known crew in the neighborhood. using substance being aggressive with parent,"Strongly recommend health services thur Tarzana Treatment center, for emotional issues and substances. ",A Little progress,0,Emotional/behavior issues
Devonshire-Topanga-11-108-1,ct has both emotional and behavior issues. which have caused him to associate or be part of a known crew in the neighborhood. using substance being aggressive with parent,"Just found out Ct enjoys drawing, we recommended he joined the workshops graphing the GRYD offers in house, once in awhile, CT liked the idea. ",A Little progress,0,Emotional/behavior issues
Devonshire-Topanga-11-111-1,"clients biggest issue is that she has no support from parents, and does not have any positive role models in her life, the only friends she has had are the street members","Recommended strategy now that the client is a young mom, is to consider taking mommy and Me classes and get involved with her old friends from church.  ",Some progress,0,Emotional/behavior issues
Devonshire-Topanga-11-115-1,"poor behavior, anger issues, depression. using substances and hanging out with crew members that are negative influence. ",One of the strategies recommended is for CT to attend an anger management workshop or accept therapy from inhouse mentors. ,N/A - not applicable to this phase,0,Emotional/behavior issues
Devonshire-Topanga-11-119-1,ct's use of substances and hanging out with affiliated members and negative peers. ,Recommended Life skills and Anger Management workshop series as well as substance information classes. ,N/A - not applicable to this phase,0,Emotional/behavior issues
Devonshire-Topanga-11-119-1,"the ct is currently going thru anxiety and depression, ct got involved with some affiliation problems with a gang rival and now feels the stressors of that situation. ",Recommended services from TTC for substances and depression and anxiety. ,No progress,0,Emotional/behavior issues
Devonshire-Topanga-11-120-2,currently under house arrest ,Family support and school support and programming in mentorship and employment ,Good progress,0,Emotional/behavior issues
Devonshire-Topanga-11-122-1,"client suffers from ptsd, severe anxiety. client also is currently using substance. ",Recommended a referral with Tarzana Treatment Center for client's anxiety. Cognitive Behavior Therapy is recommended as well as therapy for substance support. ,No progress,0,Emotional/behavior issues
Devonshire-Topanga-11-123-1,substance abuse/ drinking/ anger/ gang affiliated/trauma/family behavior  ,CIW recommend client attend workshop for anger management. CIW will work with client on internal life skills workshops that consist of field trips as well.   ,No progress,0,Emotional/behavior issues
Devonshire-Topanga-11-125-1,"ct. has visible antisocial tattoos that he would like removed, they cause tension in the community. ",Enrollment at Providence tattoo removal program.,No progress,0,Emotional/behavior issues
Devonshire-Topanga-11-129-1,client struggles with his family and has community service hours to complete for his diversion program.,Recommended referral with TTC for anger management and substance use. ,Some progress,5,Need to complete community service hours for probation requirements
Devonshire-Topanga-11-131-1,"ct undergoing some depression, anger issues, due to the health issues with both of his parents. having affiliated friends that want him to continue hanging out at hot spo","Recommended joining an ART workshop, to better or to learn how to deal with emotions and expressing them. ",A Little progress,0,Emotional/behavior issues
Devonshire-Topanga-11-147-2,"client is under the supervision  of the parole office. client is gang affiliated, client occasional uses drugs.   ",Recommended NA meeting for substance abuse. reenrolling to school for HS diploma.  ,A Little progress,0,Emotional/behavior issues
Devonshire-Topanga-11-152-2,client is currently in need of parenting classes and out patient rehab services.  ,"Motivation, Client is currently sober. ",Some progress,0,Emotional/behavior issues
Devonshire-Topanga-11-153-2,client is currently facing legal issues child custody. ,Client will meet with CM/ CIW regarding custody hearing. Client will use legal resources/ ,A Little progress,0,Emotional/behavior issues
Devonshire-Topanga-11-156-1,ct feels peer pressured to join in to activities that affiliated members are doing. ,"Take part of physical activities, such as sports or boxing. ",N/A - not applicable to this phase,0,Emotional/behavior issues
Devonshire-Topanga-11-157-1,"drug abuse, drinks a lot, like to fight, very aggressive, hanging out with affiliated members. ","Met with Ct, recommended programs that can help with the use of substances and anger management. CT declined said would rather take a class in boxing or dancing. CIW and CM will look for one. ",N/A - not applicable to this phase,0,Emotional/behavior issues
Devonshire-Topanga-11-158-1,substance user more than people may realize and kicking it with family members that are from a known gang. ,expression thru the arts or graffiti ,N/A - not applicable to this phase,0,Emotional/behavior issues
Devonshire-Topanga-11-160-1,"client has concerns about her future, especially employment, due to her substance usage. (addiction) team encouraged her to accept help from a counselor, she declined.",Continue encouragement to remain productive on self improvements. ,N/A - not applicable to this phase,0,Emotional/behavior issues
Devonshire-Topanga-11-162-1,the ct's main problem is his use of substances and hanging out in hot spots with known affiliated members.  he comes from a single family household. very unmotivated.,"As a team, best strategy is recommendation and referral to a rehab treatment facility and mentoring. ",No progress,0,Emotional/behavior issues
Devonshire-Topanga-11-168-2,"client is currently on probation, client is gang member. ",to utilize his support system when he encounters  obstacles or issues. ,Some progress,0,Emotional/behavior issues
Devonshire-Topanga-11-173-1,ct is very impulsive and constantly stealing from stores. ,Asked him to really think about how the victims feel when their stuff is taken or stolen. (consequences to actions) ,A Little progress,0,Emotional/behavior issues
Devonshire-Topanga-11-175-1,ct is very explosive and identified as having anger issues. ,"Recommended to breath in and out and count back wards as a coping mechanism when ct feels like exploding, also think before acting. ",N/A - not applicable to this phase,0,Emotional/behavior issues
Devonshire-Topanga-11-180-1,"client has anger issues, ver explosive and easily gets frustrated. court has mandated client to take anger management classes. ",Recommended client to attend anger management classes at Tarzana Treatment Center as well as on line courses. ,N/A - not applicable to this phase,0,Emotional/behavior issues
Devonshire-Topanga-11-183-1,"client is very involved in gang life, client stays out on the streets drinking and drinking. ",Client to be enrolled in HS and has family support. ,A Little progress,0,Emotional/behavior issues
Devonshire-Topanga-11-185-1,client is currently on probation. ,Committed to running his program. ,Some progress,0,Emotional/behavior issues
Devonshire-Topanga-11-186-1,client stated when surrounded among friends client tends to drink and takes risks. ,Client will maintain his distance from friends.,No progress,0,Emotional/behavior issues
Devonshire-Topanga-11-187-1,currently suspended from school due to fighting on school grounds.  ,to keep open communication with family ,No progress,4,Need assistance with school enrollment/improving school grades
Devonshire-Topanga-11-188-1,"ct's comes from a single parent household, mother passed away at a young age and she's been raised by her affiliated single father. this has caused much trauma to the ct.",The team will suggest taking a therapy session with our in home counselors. ,N/A - not applicable to this phase,0,Emotional/behavior issues
Devonshire-Topanga-11-193-1,"hanging around known gang members and drinking, taking impulsive risk taking. ","Mentor client as well help with enrolling to a new High School, also connect client to AA classes, client was to cut back on drinking. ",N/A - not applicable to this phase,0,Emotional/behavior issues
Devonshire-Topanga-11-193-1,"hanging around known gang members and drinking, taking impulsive risk taking. ",The plan is to refer CT to AA groups since he shared about his drinking problem or counseling with TTC .  ,N/A - not applicable to this phase,0,Emotional/behavior issues
Devonshire-Topanga-11-195-1,abuses marijuana and needs to improve in school  ,to write goals regarding school and probation ,A Little progress,4,Need assistance with school enrollment/improving school grades
Devonshire-Topanga-11-198-1,client is a substance user and semi homeless.,mentorship and referral for Tarzana for substances. ,N/A - not applicable to this phase,0,Emotional/behavior issues
Devonshire-Topanga-11-199-1,client is currently under supervions of the probaion dieversion program. client is unempolyed. ,"Client has family support, referral for empolyment will be made to good will services. ",A Little progress,0,Emotional/behavior issues
Devonshire-Topanga-11-200-1,ct is using substances and hanging out with troublesome affiliated members. ,Refer Ct to AA classes near by and a part time job. ,N/A - not applicable to this phase,0,Emotional/behavior issues
Devonshire-Topanga-11-201-1,ct has started to drink too much to the point where he can benefit from aa meetings. ,Advised CT about possibly taking AA classes or attending to meetings. ,N/A - not applicable to this phase,0,Emotional/behavior issues
Devonshire-Topanga-11-202-1,ct expressed his biggest issues is his substance use and still a member of a known gang. ,"Recommendation of mentorship, job hunt thru temp agencies and AA meetings. ",N/A - not applicable to this phase,0,Emotional/behavior issues
Devonshire-Topanga-11-203-1,ct's biggest challenge/problem that is hanging out with affiliated members and has brothers that are affiliated and known gang members. ct is not interested in joining in,Mentor participant. Participant needs someone to talk to and someone that can help him guide him to better choices.,N/A - not applicable to this phase,0,Emotional/behavior issues
Devonshire-Topanga-11-205-1,"client is currently dealing with anger issues, abandonment ",Referral was made by PO to wrap around services.,No progress,0,Emotional/behavior issues
Devonshire-Topanga-11-206-1,client is currently unemployed and not enrolled in school. ,Client will enroll into pierce college to finish her child development. ,A Little progress,4,Need assistance with school enrollment/improving school grades
Devonshire-Topanga-11-209-1,client use substances with school friends. ,Client will check in with CIW that has 22 years of substance abuse counseling . ,A Little progress,4,Need assistance with school enrollment/improving school grades
Devonshire-Topanga-11-213-1,pro-active in bad behavior. ,Using Family support.,No progress,0,Emotional/behavior issues
Foothill-14-175-2,probation supervision in community,"assist in complying with probation in the community, and court advocacy",N/A - not applicable to this phase,0,Emotional/behavior issues
Foothill-14-175-2,probation supervision in community,"Case manager provided DPO Davidoff report of behavioral improvement, and boxing club involvement. ",Excellent progress,0,Emotional/behavior issues
Foothill-14-175-2,educational support,case manager and CIW are providing educational support and advocacy for Eagle Rock school enrollment. ,Good progress,0,Emotional/behavior issues
Foothill-14-175-2,in need of ca. id,case manager brought client to north hills office to apply for CA ID reduced fee application,Good progress,0,Emotional/behavior issues
Foothill-14-227-1,client disclosed he feels unsafe walking to school.,case manager will continue to provide safe passage from home to school and back home. ,Good progress,0,Emotional/behavior issues
Foothill-14-227-1,school is requiring client to re-enroll for new fiscal year. ,case manager set appointment with school for 9/1/16 for 9:30 am.,Good progress,4,Need assistance with school enrollment/improving school grades
Foothill-14-227-1,seeking to reduce high school credits under ab316,case manager will assist with providing proof to school client was a ward of the court under AB316. Was referred to Childrens court,Good progress,4,Need assistance with school enrollment/improving school grades
Foothill-14-294-2,oustanding tickets to be paid to get his drivers license back,comply with court clerks office to set up payment plan for outstanding tickets,N/A - not applicable to this phase,0,Emotional/behavior issues
Foothill-14-294-2,court requirement to complete parenting classes,parenting class enrollment within organization,Some progress,0,Emotional/behavior issues
Foothill-14-308-2,"probation requirement: 
10 individual sessions to be completed by 6/1/18",case manager will assist with providing 10 counseling sessions by due date,Some progress,0,Emotional/behavior issues
Foothill-14-308-2,community service,case manager has assigned community service location ,Some progress,5,Need to complete community service hours for probation requirements
Foothill-14-308-2,take hiset test for ged,case manager will encourage client to take HISET test and assist with $110 fee to take exam. ,N/A - not applicable to this phase,0,Emotional/behavior issues
Foothill-14-308-2,client needs ca i.d. ,case manager will assist with providing client with DMV reduced fee form to acquire ID. ,N/A - not applicable to this phase,0,Emotional/behavior issues
Foothill-14-310-2,"pulled over by law enforcement for one night driving without drivers license, as a result detained and car was impounded",accepting consequence for impulsive risk taking. No more driving until he gets driving permit and drivers license,Good progress,0,Emotional/behavior issues
Foothill-14-310-2,client was fired from his job,"putting priorities in order, like enrolling in school to prove responsibility to self and employer in an effort to get job back",Good progress,0,Emotional/behavior issues
Foothill-14-310-2,clients gf is pregnant. ,Case manager is submitting 3rd cycle petition to GRYD RPC for continuation of services given the circumstance of client and girlfriend expecting a child. ,A Little progress,0,Emotional/behavior issues
Foothill-14-349-3,seeking employment,"job readiness, resume assistance, job search",Good progress,4,Need assistance with school enrollment/improving school grades
Foothill-14-377-1,client is in need of birth certificate from madera county,case manager assisted client with birth certificate application from Madera County,Good progress,0,Emotional/behavior issues
Foothill-14-377-1,client is in need of employment to stay busy and be more productive ,case manager assisted client with SNL online application,Good progress,0,Emotional/behavior issues
Foothill-14-391-1,"landlord has requested vacation of room, in need of housing for self, mother and brother","case manager will assist with housing rooms for rent, and completing housing application",Some progress,0,Emotional/behavior issues
Foothill-14-391-1,"unemployed, urgently needs a job ","case manager will assist with employment search, online application and mock interviewing",Good progress,0,Emotional/behavior issues
Foothill-14-391-1,displaying alcohol abuse ,"case manager will be providing one on one counseling, re-inforcing importance of maintaining sobriety, and also highlighting the effects from excessive use. ",Some progress,0,Emotional/behavior issues
Foothill-14-391-1,in need of sr-22 car insurance,case manager will provide resource for SR-22 car insurance quote,Some progress,0,Emotional/behavior issues
Foothill-14-393-2,"not attending school, needs to enroll","providing alternative school resource for school enrollment, educational support",Some progress,4,Need assistance with school enrollment/improving school grades
Foothill-14-395-2, she was not attending school,case manager and school staff will set up client on contract to maintain school attendance ,A Little progress,4,Need assistance with school enrollment/improving school grades
Foothill-14-395-2,very poor grades,"case manager will monitor academic work, will also place on contract and provide educational support ",A Little progress,0,Emotional/behavior issues
Foothill-14-395-2,"gang affiliated, negative influences","case manager will encourage to be more involved with community in pro-social activities, community engagement in an effort to minimize free time ",A Little progress,0,Emotional/behavior issues
Foothill-14-395-2,on probation ,"case manager will ensure client is accountable and fulfills probation requirements, will provide advocacy as needed",Some progress,1,Need assistance with employment search
Foothill-14-396-1,behavioral issues with family,"anger management classes, therapy sessions",Good progress,0,Emotional/behavior issues
Foothill-14-400-1,"academic challenges, other difficulties in school","monthly attendance checks, athletic activity such as boxing, football and job readiness",Some progress,0,Emotional/behavior issues
Foothill-14-401-1,academic and attendance challenges,"monthly attendance checks, search for athletic activity enrollment",Some progress,0,Emotional/behavior issues
Foothill-14-401-1,court date for july 26 2018 for providing proof or compliance with court order,"Provided court advocacy services, parent support, translation services, and transportation",Good progress,0,Emotional/behavior issues
Foothill-14-402-1,poor school attendance,"school visit for attendance verification, provide transportation to and from school/safe passage, short term goal incentives",Some progress,4,Need assistance with school enrollment/improving school grades
Foothill-14-402-1,client needs to attend drug rehab program,"case manager visited tarzana treatment center for appointment, scheduled for Jan 23 2018. ",Some progress,0,Emotional/behavior issues
Foothill-14-402-1,client is currently on probation,case manager assisted with probation advocacy and is now off probation as he has complied with all requirements,Task/Service successfully completed,0,Emotional/behavior issues
Foothill-14-410-1,transportation,"CM PROVIDED TAP CARD RESOURCE, DROVE CLIENT TO METRO/UNION STATION TO APPLY FOR CARD.",Good progress,0,Emotional/behavior issues
