S6b_Other_Activities,S11a_Comments,A1_Description,A2_Description,A3_Description,O1_other_group_name,Group_name_part1,PUSH_1,PULL_1,Emotion
GRYD,Coming home always arguing with my dad and school trying hard but sometimes I don't do anything right and just going through hard time at home.,,GRYD,,GRYD,Friends,Nothing,Yes from having a job,neutral
GRYD,Not having a job really stresses me out,,GRYD,,GRYD,SEA,Nothing,No,neutral
Playing basketball,My auntie passed a couple months ago,School friends,,,Friends at school,No group,,,neutral
,Break up,,,,Homeboy Friends,Homies,I don't want to go back to jail,Having a job,joy
"Getting nails done, doctors appoint.",Found out she was pregnant,,,,No name,No group,,,neutral
Volunteer work,The loss of close friends,,,Friends,Friends,No group,,,sadness
Workout,Not having a job son being injured,Workout fam,,,Workout fam,No group,,,fear
Life skills workshop,Losing father,,,,No other group,No group,,,fear
"College, anger management, 12 step, criminals and gangs anon. fire crew","Living situation, loss of friends, school",Co-workers,Forrest fire crew,,Associates,Homies,All of my friends are going to jail or getting shot and killed.,"Attending college, work and going new places",fear
,One of my friends is in the hospital and is dying from a STD,,,,No other group,Group,"It was just snitches. People telling, they cracked under pressure. They weren't who I thought they were.",Graduating high school. It made me feel more confident.,sadness
,Attending school,,,Friends,No name,,,,neutral
,"Moving, loss of parent",School,,GRYD Program,School,No group,,,sadness
AnT. Music. Condishing,Social life. Stressing out. Relationship,Art's counseling music,Fresh start,,G.R.Y.D group After school group,C-Block,No I really don't let losses or pain interfere with my love towards others,Yes bad habits that they had pushed me away causing the group to unbalance,fear
Bible studying kicking back,School/work,Park/street's,,GRYD,Group of Friends,Group,"""Nothing has happen.""","""By focusing in school, I lost contact with alot of my old friends, also just working and not having time to hangout and I think GRYD has a huge impact in my life as well""",joy
,Not having dad around,School friends,,,School friends,No group,,,neutral
"Read, exercise, meditate, chill",Started hanging out with ally cats. Relationship is over.,School friends,GRYD,Gangs black gangs,Youth Build,No group,,,joy
"Tutoring, life skills at school campus (college) church with family",Separted from father,School,GRYD Basketball,,GRYD,No group,,,neutral
"Creating music, studying history, studying music, trying to be open minded, being open to different perspectives, working out.","Dealing with envious/jealous people. Housing issues, people trying to stop my growth, being unstable and lack of resources.",In the neighborhood,,Leimert Park,Other group,No group,,,fear
,Client declines to disclose,School,,Friends,Friends,No group,,,neutral
,He has been shot at,,,,No other group,Homies,My brother is in jail,I was in juvenile hall,neutral
,Arrested,,,,GRYD,No group,,,fear
Read book,Everyday life,,,,No other group,No group,,,joy
,Finding a job and a place,,,,No other group,No group,,,neutral
Boxing,Family member went to prison for 7 years.,Football teammates,School football team.,,Friends,No group,,,sadness
Volunteer in the community,Got into fight at school,School,,,School,No group,,,fear
Studying and working in the culinary arts,Close friends gotten killed also job stabilitiy.,Church/CBI,GRYD CBI,Coworkers/Church/CBI,GYRD CBInc,Group,No,No,sadness
"Reading books, watching videos",Fake people acting like they care but they don't,School friends,G.R.Y.D full vision,Community,Community,Homies,"""He was out to much then they decided to tell me I've been around for a while they told me to get in the hood.""","I felt good not hanging out with them, my dad being more strict",neutral
,My mom struggles to pay the rent.,,,,No other group,No group,,,sadness
,Client was ran over,,,,No other group,No group,,,neutral
,My boyfriend got arrested,,Softball,Boyfriend GRYD,Boyfriend,Homies,"The death of my cousin, because his own friend shot him",Growing up as helped,sadness
Church with grandmother,Bullying@school (Shers) elementary,GRYD church,Dance/cheer,,GRYD,No group,,,fear
,Pregnancy,,,,No name,Group,No,Pregnancy,neutral
"Church, job preparation","Letting go of someone that meant a lot to me; being shot at, using drugs",Church,GRYD,Church group,Church,Eggs,"Getting shot at, which brought me more enemies",Restoring my relationship with god has kept me from being involved,fear
"GRYD, community En",Kicked out of school,School,Baseball,GRYD,GRYD,Homies,My dad's getting out of jail,Meeting people in GRYD,fear
,"Yes with my dad does not have good communication, relationship.",,Folkrovico/dance group,Friends/family,Friends/family,No group,,,neutral
Volunteer at park,Going to court,School friends,,,No name,No group,,,neutral
"Church, working out, basketball",Disagreement with mother,,,Other group,Other group,Group,Nothing,"Having my son, thinking about how important my future is. New opportunities",neutral
Drawing,Dealing w/ consequences,,,,No other group,Group,Disloyal people,Getting married. Having Kids.,joy
"Looking for jobs, applications.",Employment,,,,No other group,Group,"Things not the same. Everybody gone, moved away, in jail or dead.","My kids, my brother.",neutral
Aerobics with aunt,Upset with dad,School friends,Aerobics,Friends from old school,Friends of old school,No group,,,fear
,Death of boyfriend,School friends,Cheer,,School friends,Friends,Nothing,No,sadness
Works out,Not getting along with Aunt.,School friends,,,School friends,No group,,,neutral
Church,Losing daughter,Bf.,,,BF,No group,,,joy
Plays soccer,Might have been a father,,Soccer Friends,,Soccer friends,No group,,,neutral
GRYD activities,Been shot,,,,No other group,Friends,Been shot,Seeing people get hurt,fear
Urban Art Movement (UAM),Dad- heart attack,,,Normal Friends,Normal Friends,Homies,Friends going to jail,No,fear
Conservation Corps,Relationship problem DCFS,,,,No other group,Hoovers,"To [sic] much killing, enemies everywhere",DCSF has made me take things serious for my child,sadness
Church,Childhood problems,Work friends,,,Work friends,No group,,,sadness
Just GRYD,DCFS took kids,,,,No other group,Homies,Kids take by DCFS,Kids taken by DCFS,neutral
"Dance, music, school",Life,School,Dance team/Mentoring squad,,Mentoring Squad,No name,"Yes, I'm changing in a positive way.",Me being locked up,neutral
School,My dad passed away,,,,No other group,No name,When a close friend passed away,When I was locked up and I went to school new doors opened.,sadness
Works out,Guy pulled a gun on me at work.,,,Homies,Homies,,,,fear
,Step parent a new one,School friends,,outside friends,outside friends,No group,,,neutral
"Planning, writing, reading, research, walking, interacting with people",Community violence/trauma,,Engaging men,Engaging men,Other,No group,,,fear
Volunteer at Program,A rockey [sic] relationship,School friends,,The Program,The Program,Homies,Yes the homies getting locked up,No,neutral
Go to the park.,Home issues.,,,,No other group,Homies,"""Because the loss of a family member""","""Attending school on daily basis""",neutral
,Yes getting locked up,,,,No other group,Homies,"Yes being in placement, on probation & school.",Yes probation,neutral
,Lost a baby,Church,,,Church,Homies,"Yes, betrayal","Yes, my children",sadness
"Fix car, security videos, being a parent",Not upsetting but stressful being a parent,Other friends,,,Other friends,Homies,Nothing,Well haing a kid and working,fear
Basketball,Fights,School,Basketball,,School,Homies,Yes I can't trust them being snitching talking behind back,"Yes playing basketball, finish school",anger
,Brother making poor decisions,,Funk Freaks/Party Group,,No other group,Friends,Yes. Friends changing the way they are; Being fake,"Yes. Me wanting to better msyelf, and not being like them.",fear
Working/work skills/experience,Friend got killed,,,,No other group,Group,Went to jail,Got a job,sadness
"School enrollment, independent house search, employment search",Mother passed,,,,No other group,Group,Yes. My mother passing away and my aunt wanting me to get away,Relationship with my girlfriend and her son working.,neutral
GRYD client seeing CM/CIW,Miscarriage,,,,No other group,No group,,,fear
,Crashed mother's car,Cool chruch friends,,,No other group,Homies,"Yeah, my cousin went to jail. He's not coming home any time soon. Plus they be tripping around the corner now. So I dont hang with them that much now.","No! I dont hang with them that much no more, they be tripping on me.",neutral
,Losing my privacy,,,,No other group,No group,,,fear
Basketball,Cousin died,,,,No name,52nd St. Bloods,,,sadness
,"My parents personal life ""marriage""",,,,No other group,Goodies,No,No,sadness
,God mom passed,Work,,,work,Group,Jail,Graduation,joy
,Conflict with son's father; homelessness; unemployment,,,,No other group,Group,My whole circle is in jail. I'm getting older & I want to do something with myself. I'm growing up.,No.,fear
,Fallecio mi abuela (My grand mother died),Amigos de escuela (School friends),,,Amigos de escuela (School friends),Homies,Los problemas (The problems),Mis consejos y estudios (My self advice and studies),sadness
Work study in college,Friend was killed,School friends,,,School friends,Homies,Death of friends and people in my community,Living in my college dorm and staring college in a new community,sadness
,Mother died; Father in wheelchair,,,,No other group,No group,,,sadness
GRYD,Grandfather died,,,,No other group,,,,sadness
None,Boyfriend broke up with her (end of 1st relationship),School friends,High school band,,School friends,No group,,,sadness
"Job search, school enrollment, parole compliance","Boyfriend went to jail, traffic",School friends,,friends from other group,School friends,Group,Friends dying literally left and right,People having babies & moving away,anger
"Handling responsiblities with court, excercise, job serach, school enrollment",Lost bracelet and traffic ticket,,,,R 30's,Group,Friends dying literally left and right,People having babies and moving away,anger
,Break up from a 4 yr relationship,School friends,,,No other group,No group,,,joy
"Church, read the bible, listen to scriptures",Polic brutality,,,,No other group,Group,No.,Schooling.,fear
Football,Grandmother passed away,School friends,Football,,School friends,No group,,,sadness
School,Cousin died,,,,No other group,Group,,,sadness
GRYD,Nephew was shot,,,,No other group,OGs,Nephew was shot,Getting kids back,neutral
,Did not want to speak about it for interivew,Boyfriends,,,No other group,No group,,,fear
,Baby mother refusing to allow to see daughter,,,,No other group,Soto,No not really,No,neutral
,Funeral of a great uncle,,,,No other group,No name,I had one of my great uncles pass away,I got hired at Smart & Final,joy
Counseling,Don't want to speak on it,Coworkers,Teen Club,Walking Club,Coworkers,No group,,,neutral
,Trouble w/ the fam.,,,,No other group,Friends,Nothing,Committed relationship,neutral
Church,Being on probation/house arrest,School,Sports,Friends,School,No group,,,anger
,Family and girlfriends,,,,No name,No group,,,neutral
Chapter Two girls group life skills classes,"Family duties, taking care of younger siblings",Basketball team,Basketball Team,,Basketball Team,No group,,,joy
Working with GRYD,Lost custody of kids,,GRYD,,GRYD,No group,,,sadness
,Borther was shot and killed by LAPD,,,,No other group,No group,,,fear
Read Books,The going to court stressful [sic],,,,No other group,Hoovers,"Close friend was kill [sic] at the age of 17, that hurt me and it was gang related.",Having a child,sadness
,Peer died from gunshot.,,,,No other group,No group,,,sadness
,My house got on fire,,,,No other group,No group,,,sadness
,Personal family problems,School friends,,School friends,School friends,Homies,"Yeah, some off the go into gangs","Yes, I moved schools",neutral
GRYD,DCFS got involved with kids,,,,No other group,ES,DCFS,Nothing,joy
Staying home more,Just my brother got shot (5 yr),,,Helper,No other group,No group,,,sadness
,Jumped out of the crew/core checked,School,,Church,School,Homies,My family getting injured and me going to jail.,Greater opportunities thinking of my future,neutral
Girls empowerment group,Aunt Passes away Monday Nov 7th 2016,,,,No other group,No group,,,fear
,Conflicted relationship with mother,,,,No other group,No group,,,sadness
H.E.L.P.E.R. foundation program,Girlfriend's father committed suicide,,,Leadership,Helper Foundation,Homies,My girl's dad killed himself,"No, it's all bad",sadness
"Counseling, life skills, mentorship",Father passed on,Childhood friends,,,No other group,Homies,Nothing,I have a girlfriend now. I'm with her all the time.,neutral
Come to program,Moving,,,,No other group,No group,,,neutral
Watch TV,DNA for my son,,,,No other group,Crips,A lot of people dying,Having a child,fear
Job training,Friend died,,,,No name,Group,,,sadness
Comes to the community teen club,Deaths of friends,The park/teen club,,The park/teen club,CBInc,Group,Getting accused of robbery and had to go to the police station. Made me want to change friends.,Volunteering and working at the park.,sadness
,Don't want to talk about it.,,,,No other group,Friends,No,No,neutral
,Personal issues,,,Friends,Friends,No group,,,neutral
Silk screen workshops,Is having a baby,School friends,GRYD Baseball Team,GRYD staff,Baseball team,Homies,Homies drug abuse around me,"Yes, he's having a baby",neutral
,My father and mother divorce because of my dad's drug use.,,,,No other group,No group,,,anger
Leadership class,My mom has been disabled since I was small,,,Life skills,Helper Foundation,Homies,They took me to jail,,neutral
,My father had a baby by lesbian,Church,,Life skills,Church,Venice,"My grandmother doesn't trust me, she wants me to move to Vegas with her. I don't want to",No,neutral
Leadership classes,My grandmother died,,,Life skills,Helper Foundation,Homies,Yeah my grandmother died,,sadness
"Life Skill meetings, therapy",My baby was taken away in foster care,,,Group life skills/ training,Therapy/ group life skills,No group,,,neutral
,Family,,,friends in the neighborhood,Local friends,No group,,,neutral
,Relationship Breakup,,,,No other group,No group,,,sadness
,Being arrested,,,,No other group,No group,,,fear
,"Being homeless on the streets, not able to see children, no in fostercare",,,,No other group,Homies,,,fear
Reading Diane Davis,"Homeless, lady lives in Moreno Valley",,,,No other group,No group,,,fear
,"""Got busted""",,,,No other group,Neighborhood friends,Mom's sickness and probation,Being on probation,fear
Girls empowerment and basketball,Aunt passed away November,School friends,,,School friends,No group,,,neutral
Counseling and family counseling with HELPER/GRYD program,My baby was born prematurely and stayed in the hospital,,,"counseling, life skills HELPER Foundation",HELPER Foundation,Homies,"My baby was in the hospital when she was born, that fucked me up. It was scary to see her so little with tubes. Thank god she's ok.","My baby being born, I was so happy. she's my life. I don't want to go to jail, I want to be around for her.",sadness
,Grandfather and father died,B & G club,Teen Club,Teen Club,Rise up,4,Nothing,Joined teen club,sadness
"Church, sports at school",My father left,,"School sports: volleyball, football, basketball",GRYD,GRYD,No group,,,sadness
,Brother was molested,,,,No other group,W,Boyfriend went to jail,No,fear
,Boyfriend incarcerated,,,,No other group,Friends,Nothing,No,joy
Attending activities that are beneficial,"Financial stress, brother incarcerated",Study group,,,No other group,Group,Friends have gotten arrested,"Job, school, and famiy",joy
"Football, basketball, lacross, and boxing",Father moved to San Diego and he hasn't had communication with him in sometime [sic],Client plays sports but is not on a team at this time,,,No other group,No group,,,sadness
,Home problems,,,,No other group,Homies,"Yes, some problems at home",No,fear
Working with sound systems on Sundays at church,Losing my groups,School friends,,,No other group,No group,,,sadness
,Probation,School friends,,,School friends,No name,Nothing has happened in the last six months,Nothing has happened,neutral
Case manager meeting to seek jobs Gym-workout,Father in prison,Job,,VOALA GRYD,GRYD Program,No group,,,neutral
Parenting,"Arrested, family case relationship",Job outing,,,No other group,No group,,,sadness
,Relationship and losing custody of children,Work friends,GRYD,GRYD,GRYD,People,Cause they're not there for any situation that happens,When I had my first daughter,sadness
Church activities,When I broke up with my ex,,,,Elvia & Joel,No group,,,sadness
volunteer at a nursing home,Losing my dad- he died,,,Friends-school,School friends,Pacoima Criminals,"Yes, family issues at home. Hard to stay at home, nothing going good at school or home. Nothing solving problems, just getting involved iwth bad people.",No.,sadness
Online life skills,Needs a job,Training activities,CBI/Community Build Inc.,Community Intervention GRYD,CBInc,Group,No,No,fear
"Got a job, and still working",My girlfriend loss [sic] our baby,,,Counseling,Helper Foundation,Homies,The death of my unborn child,My younger brother got 5 years,sadness
,Too much drama at school that you dont want to deal with.,School friends,,,No name,"Columbus, CMK","I dont know, everyone that I liked to kick it with has locked up, so its like a done deal.",Probably not,neutral
Volunteers at community events,Brother is locked up,,,,No other group,Friends,No,No,anger
,I got jumped coming from the beach.,,,,No other group,Homies,I got jumped coming from the beach. My ribs were fracture [sic].,No.,neutral
,House was raided because of friend,,,,No other group,Homegirls,House was raided,Nothing,anger
,Looking for a job,School,,,No other group,Friends,Nothing,No,neutral
Work,"Home problmes, life problems",Family friend,Young in LA,,Family and friends,No group,,,sadness
,Best friends fighting,,,,No other group,Crew,Friends going to jail,Opportunities,joy
,Probation,,,,No other group,No group,,,neutral
Reading book,Father was murder,,,,No other group,Homies,Father was killed,Finding a job,neutral
,About to become a father,,,,No other group,No group,,,joy
,Client was rape,,,,No other group,Homies,Nothing,Nothing has happen [sic],fear
,Cousin was killed,,,,No other group,Homies,No,No,fear
Working,Bother was held at gun point & badly beaten/harmed,,,,No name,Fresh boy click,,,anger
Girls empowerment group,Boyfriend was killed last year,,Cheers Team,,No other group,No group,,,fear
Working out,Brother in jail,,,,No other group,Group,Brother went to jail,Mother of my child is trying,neutral
Basketball and soccer,Court and probation,,Soccer and Basketball,,Sports Friends,Friends,Father was involved in a car accident,Being in a relationship,sadness
,Little sister got caught up in neighborhood politics,Workers,,,Workers,Homeboys,No,No,joy
,Getting kicked out of school,School friends,,,School friends,Homies,No,I'm now going to do other things- Becoming aware of new opportunities,joy
,"""I got raped.""",,,,No other group,Friends,"""Yeah, no don't want to mention""","""I had a gotten a job at Homeboys even though I didn't go.""",fear
,Had my jaw broken when getting jumped,,,,No other group,Wsup,No,No,fear
,Neighbor was molested by another neighbor,,,,No other group,West,No,No,fear
Life Skills,Trust issue me and mom,School,,,No other group,Homies,Trust,School,fear
,Life,Work,,,No other group,Brothers,No,No,neutral
"Working, going to school, and taking classes in order to work on my anger",Getting locked up,,,regular friends,Friends,Bro's,I'm tired of being in jail. I keep going back as soon as I get out.,I have a job now.,anger
Valuable work experience,Close friend was killed,,,,No other group,Group,Being more involved in my son's life,Working a labor intensive job,sadness
,"Family, broken family",School friends,,,Friends,Friends,"Yes kinda, my boyfriend gets mad, because he doesn't trust them.","I want to focus on myself and school, don't really talk to them",sadness
"Therapy, Church",Break up with boyfriend,School friends,School,Work,Work,Homies,"No, nothing has happened.",Planning college trip to study abroad in Europe,joy
,"Sibling incarcerated, father not spending time with client and younger siblings",Friends,,Friends,No other group,Group,Because the group was greatly influenced by people doing bad,Not getting influenced,sadness
,Got in trouble and was in juvenile hall,,,,No other group,Homies,Being in juvenile hall,Nothing,joy
,A lot of close friends got killed,,,,No other group,Group,Too many people I love got killed,No,sadness
I got to the GRYD program,"Friend, killed to gang violence",VOA,Volunteers of America (GRYD),VOA,Volunteers of America (GRYD),Cool group,Nope,Nope,sadness
Works out,Paternal uncle died,School,,,School friends,No name,I was shot at.,I was shot,sadness
Looking for jobs,Lost job,Culinary arts/superior market,CB Inc/community build,CB inc/ GRYD,Other group,Group,DK,DK,sadness
VOA gathering,Getting employment to bills,,Volunteers of America (GRYD),VOA,Volunteers of America (GRYD),Rabbits,Nope,Nope,neutral
GRYD,Parents,job,gryd,,GRYD,Goodies,Gossiping some girls talk to much,GRYD case manager is helping with my anger now I have a job,neutral
,Lost college scholarship,,,,No other group,No group,,,sadness
Plays basketball and football,Custody w/ family,School sports,,Friends,No name,No group,,,joy
Job readiness,Father in prison,School friends,,Street friends,Street friends,No group,,,neutral
"Church, GRYD visits, calls",Separated from my family in Mexico,"Church, job",,GRYD,GRYD,No group,,,sadness
"Excercise, diet, reading",Guy pulled a gun on me,,Gym,gym associates,Homies,Folks,My son following me in my younger days,Going to jail and missing my family,anger
Life Skills,The bills are filling up to the top,,,,Group,Group,Life skills and job search.,Aware of new opportunities,neutral
"Reading, job search, school, and self-investing activities",Tire busted,,,,No other group,Group,My homeboy just died. Group member is suspected.,My school,neutral
"Workout, dialysis",Kidney failure,,,Homies,No name,Harlem Crips,My god brother passed away. Also lost a big homie 1 week ago.,"Me being a better mother, and in a new relationship.",neutral
Life Skills,Mother passed,,,,Crew,Crew,Losing friends and family members,Aware of new opportunities,neutral
,Was hospitalized,,,,No other group,Clique,Broke up with involved boyfriend,More opportunities and chance of graduating from H.S.,fear
Church,Girlfriend issues,,,,No other group,Homies,No,Wanting to get better in school,anger
,School,,,,No other group,Homies,Just school,Just school,neutral
VOA program/Volleyball team,Housing situation with neighbors,School Friends Volleyball Team,Volunteers of America (GRYD),VOA,Volunteers of America (GRYD),No group,,,neutral
Family outings/VOA activities,Lost his job,,Volunteers of America (GRYD),VOA,Volunteers of America (GRYD),The bunnies,"Nah, chales","Nah, chales",sadness
,"I got suspended from school I'm in ""hard head"" school (SEA Charter)",,,,No other group,40's,To [sic] much snitching,"No, my dad wants me in this, I'm cool",neutral
