S6b_Other_Activities,,A1_Description,A2_Description,A3_Description,O1_other_group_name,Group_name_part1,PUSH_1,PULL_1,Emotion,S11a_Comments
Looking for a job,,,,,No other group,Group,Yea. Losing closed loved ones.,Yea. Going to school.,sadness,My dad being in jail all my life
,,,,,GRYD,Homies,I can't really go anywhere because I get worried about my boyfriend getting stopped by the police going to jail,"I'm getting married, having a child and graduating from school. Don't really have energy to go out and hang out with friends",sadness,I don't have a job and I need money for baby stuff
Library/basketball,,,,Best friends,Best friends,Family,Me and my mom getting into a fight and her calling the cops on me and taking me thing away. And handcuff and it's like I don't know who she is to me anymore,When someone makes me feel that I had to do something I didn't want to and it hurt me to know that I did this and I cry about it sometimes,joy,Me and my mom fighting and getting in arguments
GRYD activites/parenting classes,,,,,No other group,Bagos,People/friends getting injured,Losing my kids to DCFS,neutral,Dealing with DCFS
Church and working out,,School friends,Church,Childhood friends,Childhood friends,No group,,,sadness,Mother passed away
,,,,,No other group,No group,,,sadness,Relationship issues
,,Public,,My friends,Friends,No group,,,fear,My brother going to jail
Going to library or park,,,,,No other group,No group,,,neutral,Doesn't want to say
,,,,Friends,No other group,Homies,Nothing,Having a baby,fear,Almost homeless
,,GRYD,,,GRYD,Crips,The streets and experiences of what can happen within these dangerous streets at night.,Success and living healthier.,sadness,Not being in school
Church,,"School friends, GRYD Program",,,School,No group,,,fear,My friend was approached and threatened for his phone. Police were called. I was present.
,,Job related,Cheer/Dance tumbling,"football players, cheer friends",Football,No group,,,sadness,"Housing problems, family issues (mom went to jail), separation"
GRYD,,GRYD,,,GRYD,4 People,Nothing,Low key finding a job that will remove time w/friends,fear,Family problem/everything is stressful I have anxiety
Church and life workshop w/ GRYD,,GRYD,,,GRYD,Childhood friends,"Yes - death of a friend, Chris","Got into it with my ""so called friends""",neutral,Brother got busted
GRYD,,,,Yes only jada and her family,School friends,2 Friends,"My big brother being in jail, not having my little sister and mom hurts me so much I sometimes wanna be away from everybody",None,sadness,My mother leaving to Mexico. I was close to her feel lonely. Love is not strong enough.
GRYD,,Job,GRYD,,Co-workers,Friends,Nothing,Yes working a job,neutral,Put down all the time by my sisters. School + working is stressful.
"Volunteer, running, self-discipline",,Running group,Swim/Running,LGBT center,Running group,Cholos,As I got older I was thinking more of myself and caring more about school than getting warned about the law,Sports have been helping me. Another reason I stopped hanging out was my dad did not support me.,anger,Fighting with dad
VOA Life skills and boxing at South LS boxing,,School friends,Boxing,VOA,Volunteers of America (GRYD),No group,,,fear,Disconnection in relationship with father
,,,,,No other group,No group,,,fear,Shot at
"Reading, time with kids",,,,,No other group,Group,"Yes, deaths, unnecessary jail visits",Getting a job,fear,"Mother got sick (fiber myalgia [sic]), step father (cancer), and grand mother got sick (dementia)"
GRYD,,School friends,,,School friends,Random,Nothing,Started working and have no time for friends,neutral,Moved out of my parents house
Hangs out at the park,,,,,No other group,Boys,"Being on probatoin, fear scared when sees police",Being on probation,fear,Getting arrest
"Working, basketball",,,,,No name,52nd St. Bloods,,,fear,Homies were killed
,,Youth build friends from school,,,Youthbuild friends,No group,,,joy,Taking care of my son
,,,,,No other group,No group,,,fear,Shot at
"Black student union, photography for school year book.",,,,,No other group,No group,,,sadness,My parents divorced 2-3 years.
,,School friends,,Friends,School friends,No group,,,joy,"Month ago, friend shot now parralyzed [sic]"
Dance class,,Friends from cadets,Soccer,Church group,cadets,No group,,,neutral,Family issues
Life skills/workshops,,VOA,,,Volunteers of America (GRYD),No group,,,sadness,Cousin died in car accident
,,,,Friends,Friends,Friends,,"Cousin, coming to me taking me to church and preaching to me on how life is supposed to be",sadness,"Going to jail, not having a good relationship and leaving child for 6-8 months"
GRYD,,,GRYD,,GRYD,Friends,Nothing,Yes from having a job,sadness,Coming home always arguing with my dad and school trying hard but sometimes I don't do anything right and just going through hard time at home.
GRYD,,,GRYD,,GRYD,SEA,Nothing,No,fear,Not having a job really stresses me out
Playing basketball,,School friends,,,Friends at school,No group,,,sadness,My auntie passed a couple months ago
,,,,,Homeboy Friends,Homies,I don't want to go back to jail,Having a job,joy,Break up
"Getting nails done, doctors appoint.",,,,,No name,No group,,,neutral,Found out she was pregnant
Volunteer work,,,,Friends,Friends,No group,,,sadness,The loss of close friends
Workout,,Workout fam,,,Workout fam,No group,,,fear,Not having a job son being injured
Life skills workshop,,,,,No other group,No group,,,sadness,Losing father
"College, anger management, 12 step, criminals and gangs anon. fire crew",,Co-workers,Forrest fire crew,,Associates,Homies,All of my friends are going to jail or getting shot and killed.,"Attending college, work and going new places",fear,"Living situation, loss of friends, school"
,,,,,No other group,Group,"It was just snitches. People telling, they cracked under pressure. They weren't who I thought they were.",Graduating high school. It made me feel more confident.,sadness,One of my friends is in the hospital and is dying from a STD
,,,,Friends,No name,,,,neutral,Attending school
,,School,,GRYD Program,School,No group,,,sadness,"Moving, loss of parent"
AnT. Music. Condishing,,Art's counseling music,Fresh start,,G.R.Y.D group After school group,C-Block,No I really don't let losses or pain interfere with my love towards others,Yes bad habits that they had pushed me away causing the group to unbalance,fear,Social life. Stressing out. Relationship
Bible studying kicking back,,Park/street's,,GRYD,Group of Friends,Group,"""Nothing has happen.""","""By focusing in school, I lost contact with alot of my old friends, also just working and not having time to hangout and I think GRYD has a huge impact in my life as well""",joy,School/work
,,School friends,,,School friends,No group,,,sadness,Not having dad around
"Read, exercise, meditate, chill",,School friends,GRYD,Gangs black gangs,Youth Build,No group,,,joy,Started hanging out with ally cats. Relationship is over.
"Tutoring, life skills at school campus (college) church with family",,School,GRYD Basketball,,GRYD,No group,,,neutral,Separted from father
"Creating music, studying history, studying music, trying to be open minded, being open to different perspectives, working out.",,In the neighborhood,,Leimert Park,Other group,No group,,,fear,"Dealing with envious/jealous people. Housing issues, people trying to stop my growth, being unstable and lack of resources."
,,School,,Friends,Friends,No group,,,neutral,Client declines to disclose
,,,,,No other group,Homies,My brother is in jail,I was in juvenile hall,anger,He has been shot at
,,,,,GRYD,No group,,,fear,Arrested
Read book,,,,,No other group,No group,,,neutral,Everyday life
,,,,,No other group,No group,,,joy,Finding a job and a place
Boxing,,Football teammates,School football team.,,Friends,No group,,,sadness,Family member went to prison for 7 years.
Volunteer in the community,,School,,,School,No group,,,fear,Got into fight at school
Studying and working in the culinary arts,,Church/CBI,GRYD CBI,Coworkers/Church/CBI,GYRD CBInc,Group,No,No,sadness,Close friends gotten killed also job stabilitiy.
"Reading books, watching videos",,School friends,G.R.Y.D full vision,Community,Community,Homies,"""He was out to much then they decided to tell me I've been around for a while they told me to get in the hood.""","I felt good not hanging out with them, my dad being more strict",anger,Fake people acting like they care but they don't
,,,,,No other group,No group,,,sadness,My mom struggles to pay the rent.
,,,,,No other group,No group,,,neutral,Client was ran over
,,,Softball,Boyfriend GRYD,Boyfriend,Homies,"The death of my cousin, because his own friend shot him",Growing up as helped,sadness,My boyfriend got arrested
Church with grandmother,,GRYD church,Dance/cheer,,GRYD,No group,,,fear,Bullying@school (Shers) elementary
,,,,,No name,Group,No,Pregnancy,neutral,Pregnancy
"Church, job preparation",,Church,GRYD,Church group,Church,Eggs,"Getting shot at, which brought me more enemies",Restoring my relationship with god has kept me from being involved,fear,"Letting go of someone that meant a lot to me; being shot at, using drugs"
"GRYD, community En",,School,Baseball,GRYD,GRYD,Homies,My dad's getting out of jail,Meeting people in GRYD,fear,Kicked out of school
,,,Folkrovico/dance group,Friends/family,Friends/family,No group,,,sadness,"Yes with my dad does not have good communication, relationship."
Volunteer at park,,School friends,,,No name,No group,,,neutral,Going to court
"Church, working out, basketball",,,,Other group,Other group,Group,Nothing,"Having my son, thinking about how important my future is. New opportunities",neutral,Disagreement with mother
Drawing,,,,,No other group,Group,Disloyal people,Getting married. Having Kids.,neutral,Dealing w/ consequences
"Looking for jobs, applications.",,,,,No other group,Group,"Things not the same. Everybody gone, moved away, in jail or dead.","My kids, my brother.",neutral,Employment
Aerobics with aunt,,School friends,Aerobics,Friends from old school,Friends of old school,No group,,,fear,Upset with dad
,,School friends,Cheer,,School friends,Friends,Nothing,No,sadness,Death of boyfriend
Works out,,School friends,,,School friends,No group,,,sadness,Not getting along with Aunt.
Church,,Bf.,,,BF,No group,,,sadness,Losing daughter
Plays soccer,,,Soccer Friends,,Soccer friends,No group,,,neutral,Might have been a father
GRYD activities,,,,,No other group,Friends,Been shot,Seeing people get hurt,fear,Been shot
Urban Art Movement (UAM),,,,Normal Friends,Normal Friends,Homies,Friends going to jail,No,fear,Dad- heart attack
Conservation Corps,,,,,No other group,Hoovers,"To [sic] much killing, enemies everywhere",DCSF has made me take things serious for my child,sadness,Relationship problem DCFS
Church,,Work friends,,,Work friends,No group,,,sadness,Childhood problems
Just GRYD,,,,,No other group,Homies,Kids take by DCFS,Kids taken by DCFS,neutral,DCFS took kids
"Dance, music, school",,School,Dance team/Mentoring squad,,Mentoring Squad,No name,"Yes, I'm changing in a positive way.",Me being locked up,neutral,Life
School,,,,,No other group,No name,When a close friend passed away,When I was locked up and I went to school new doors opened.,sadness,My dad passed away
Works out,,,,Homies,Homies,,,,fear,Guy pulled a gun on me at work.
,,School friends,,outside friends,outside friends,No group,,,fear,Step parent a new one
"Planning, writing, reading, research, walking, interacting with people",,,Engaging men,Engaging men,Other,No group,,,fear,Community violence/trauma
Volunteer at Program,,School friends,,The Program,The Program,Homies,Yes the homies getting locked up,No,neutral,A rockey [sic] relationship
Go to the park.,,,,,No other group,Homies,"""Because the loss of a family member""","""Attending school on daily basis""",neutral,Home issues.
,,,,,No other group,Homies,"Yes being in placement, on probation & school.",Yes probation,fear,Yes getting locked up
,,Church,,,Church,Homies,"Yes, betrayal","Yes, my children",sadness,Lost a baby
"Fix car, security videos, being a parent",,Other friends,,,Other friends,Homies,Nothing,Well haing a kid and working,fear,Not upsetting but stressful being a parent
Basketball,,School,Basketball,,School,Homies,Yes I can't trust them being snitching talking behind back,"Yes playing basketball, finish school",anger,Fights
,,,Funk Freaks/Party Group,,No other group,Friends,Yes. Friends changing the way they are; Being fake,"Yes. Me wanting to better msyelf, and not being like them.",fear,Brother making poor decisions
Working/work skills/experience,,,,,No other group,Group,Went to jail,Got a job,sadness,Friend got killed
"School enrollment, independent house search, employment search",,,,,No other group,Group,Yes. My mother passing away and my aunt wanting me to get away,Relationship with my girlfriend and her son working.,sadness,Mother passed
GRYD client seeing CM/CIW,,,,,No other group,No group,,,fear,Miscarriage
,,Cool chruch friends,,,No other group,Homies,"Yeah, my cousin went to jail. He's not coming home any time soon. Plus they be tripping around the corner now. So I dont hang with them that much now.","No! I dont hang with them that much no more, they be tripping on me.",fear,Crashed mother's car
,,,,,No other group,No group,,,fear,Losing my privacy
Basketball,,,,,No name,52nd St. Bloods,,,sadness,Cousin died
,,,,,No other group,Goodies,No,No,sadness,"My parents personal life ""marriage"""
,,Work,,,work,Group,Jail,Graduation,joy,God mom passed
,,,,,No other group,Group,My whole circle is in jail. I'm getting older & I want to do something with myself. I'm growing up.,No.,fear,Conflict with son's father; homelessness; unemployment
,,Amigos de escuela (School friends),,,Amigos de escuela (School friends),Homies,Los problemas (The problems),Mis consejos y estudios (My self advice and studies),sadness,Fallecio mi abuela (My grand mother died)
Work study in college,,School friends,,,School friends,Homies,Death of friends and people in my community,Living in my college dorm and staring college in a new community,sadness,Friend was killed
,,,,,No other group,No group,,,sadness,Mother died; Father in wheelchair
GRYD,,,,,No other group,,,,sadness,Grandfather died
None,,School friends,High school band,,School friends,No group,,,sadness,Boyfriend broke up with her (end of 1st relationship)
"Job search, school enrollment, parole compliance",,School friends,,friends from other group,School friends,Group,Friends dying literally left and right,People having babies & moving away,anger,"Boyfriend went to jail, traffic"
"Handling responsiblities with court, excercise, job serach, school enrollment",,,,,R 30's,Group,Friends dying literally left and right,People having babies and moving away,anger,Lost bracelet and traffic ticket
,,School friends,,,No other group,No group,,,joy,Break up from a 4 yr relationship
"Church, read the bible, listen to scriptures",,,,,No other group,Group,No.,Schooling.,fear,Polic brutality
Football,,School friends,Football,,School friends,No group,,,sadness,Grandmother passed away
School,,,,,No other group,Group,,,sadness,Cousin died
GRYD,,,,,No other group,OGs,Nephew was shot,Getting kids back,sadness,Nephew was shot
,,Boyfriends,,,No other group,No group,,,fear,Did not want to speak about it for interivew
,,,,,No other group,Soto,No not really,No,neutral,Baby mother refusing to allow to see daughter
,,,,,No other group,No name,I had one of my great uncles pass away,I got hired at Smart & Final,joy,Funeral of a great uncle
Counseling,,Coworkers,Teen Club,Walking Club,Coworkers,No group,,,neutral,Don't want to speak on it
,,,,,No other group,Friends,Nothing,Committed relationship,sadness,Trouble w/ the fam.
Church,,School,Sports,Friends,School,No group,,,anger,Being on probation/house arrest
,,,,,No name,No group,,,neutral,Family and girlfriends
Chapter Two girls group life skills classes,,Basketball team,Basketball Team,,Basketball Team,No group,,,joy,"Family duties, taking care of younger siblings"
Working with GRYD,,,GRYD,,GRYD,No group,,,sadness,Lost custody of kids
,,,,,No other group,No group,,,fear,Borther was shot and killed by LAPD
Read Books,,,,,No other group,Hoovers,"Close friend was kill [sic] at the age of 17, that hurt me and it was gang related.",Having a child,sadness,The going to court stressful [sic]
,,,,,No other group,No group,,,sadness,Peer died from gunshot.
,,,,,No other group,No group,,,sadness,My house got on fire
,,School friends,,School friends,School friends,Homies,"Yeah, some off the go into gangs","Yes, I moved schools",neutral,Personal family problems
GRYD,,,,,No other group,ES,DCFS,Nothing,joy,DCFS got involved with kids
Staying home more,,,,Helper,No other group,No group,,,sadness,Just my brother got shot (5 yr)
,,School,,Church,School,Homies,My family getting injured and me going to jail.,Greater opportunities thinking of my future,fear,Jumped out of the crew/core checked
Girls empowerment group,,,,,No other group,No group,,,fear,Aunt Passes away Monday Nov 7th 2016
,,,,,No other group,No group,,,sadness,Conflicted relationship with mother
H.E.L.P.E.R. foundation program,,,,Leadership,Helper Foundation,Homies,My girl's dad killed himself,"No, it's all bad",sadness,Girlfriend's father committed suicide
"Counseling, life skills, mentorship",,Childhood friends,,,No other group,Homies,Nothing,I have a girlfriend now. I'm with her all the time.,sadness,Father passed on
Come to program,,,,,No other group,No group,,,neutral,Moving
Watch TV,,,,,No other group,Crips,A lot of people dying,Having a child,fear,DNA for my son
Job training,,,,,No name,Group,,,sadness,Friend died
Comes to the community teen club,,The park/teen club,,The park/teen club,CBInc,Group,Getting accused of robbery and had to go to the police station. Made me want to change friends.,Volunteering and working at the park.,sadness,Deaths of friends
,,,,,No other group,Friends,No,No,neutral,Don't want to talk about it.
,,,,Friends,Friends,No group,,,neutral,Personal issues
Silk screen workshops,,School friends,GRYD Baseball Team,GRYD staff,Baseball team,Homies,Homies drug abuse around me,"Yes, he's having a baby",neutral,Is having a baby
,,,,,No other group,No group,,,anger,My father and mother divorce because of my dad's drug use.
Leadership class,,,,Life skills,Helper Foundation,Homies,They took me to jail,,sadness,My mom has been disabled since I was small
,,Church,,Life skills,Church,Venice,"My grandmother doesn't trust me, she wants me to move to Vegas with her. I don't want to",No,anger,My father had a baby by lesbian
Leadership classes,,,,Life skills,Helper Foundation,Homies,Yeah my grandmother died,,sadness,My grandmother died
"Life Skill meetings, therapy",,,,Group life skills/ training,Therapy/ group life skills,No group,,,sadness,My baby was taken away in foster care
,,,,friends in the neighborhood,Local friends,No group,,,neutral,Family
,,,,,No other group,No group,,,sadness,Relationship Breakup
,,,,,No other group,No group,,,fear,Being arrested
,,,,,No other group,Homies,,,fear,"Being homeless on the streets, not able to see children, no in fostercare"
Reading Diane Davis,,,,,No other group,No group,,,fear,"Homeless, lady lives in Moreno Valley"
,,,,,No other group,Neighborhood friends,Mom's sickness and probation,Being on probation,fear,"""Got busted"""
Girls empowerment and basketball,,School friends,,,School friends,No group,,,sadness,Aunt passed away November
Counseling and family counseling with HELPER/GRYD program,,,,"counseling, life skills HELPER Foundation",HELPER Foundation,Homies,"My baby was in the hospital when she was born, that fucked me up. It was scary to see her so little with tubes. Thank god she's ok.","My baby being born, I was so happy. she's my life. I don't want to go to jail, I want to be around for her.",sadness,My baby was born prematurely and stayed in the hospital
,,B & G club,Teen Club,Teen Club,Rise up,4,Nothing,Joined teen club,sadness,Grandfather and father died
"Church, sports at school",,,"School sports: volleyball, football, basketball",GRYD,GRYD,No group,,,sadness,My father left
,,,,,No other group,W,Boyfriend went to jail,No,fear,Brother was molested
,,,,,No other group,Friends,Nothing,No,joy,Boyfriend incarcerated
Attending activities that are beneficial,,Study group,,,No other group,Group,Friends have gotten arrested,"Job, school, and famiy",joy,"Financial stress, brother incarcerated"
"Football, basketball, lacross, and boxing",,Client plays sports but is not on a team at this time,,,No other group,No group,,,sadness,Father moved to San Diego and he hasn't had communication with him in sometime [sic]
,,,,,No other group,Homies,"Yes, some problems at home",No,fear,Home problems
Working with sound systems on Sundays at church,,School friends,,,No other group,No group,,,sadness,Losing my groups
,,School friends,,,School friends,No name,Nothing has happened in the last six months,Nothing has happened,neutral,Probation
Case manager meeting to seek jobs Gym-workout,,Job,,VOALA GRYD,GRYD Program,No group,,,neutral,Father in prison
Parenting,,Job outing,,,No other group,No group,,,sadness,"Arrested, family case relationship"
,,Work friends,GRYD,GRYD,GRYD,People,Cause they're not there for any situation that happens,When I had my first daughter,sadness,Relationship and losing custody of children
Church activities,,,,,Elvia & Joel,No group,,,sadness,When I broke up with my ex
volunteer at a nursing home,,,,Friends-school,School friends,Pacoima Criminals,"Yes, family issues at home. Hard to stay at home, nothing going good at school or home. Nothing solving problems, just getting involved iwth bad people.",No.,sadness,Losing my dad- he died
Online life skills,,Training activities,CBI/Community Build Inc.,Community Intervention GRYD,CBInc,Group,No,No,fear,Needs a job
"Got a job, and still working",,,,Counseling,Helper Foundation,Homies,The death of my unborn child,My younger brother got 5 years,sadness,My girlfriend loss [sic] our baby
,,School friends,,,No name,"Columbus, CMK","I dont know, everyone that I liked to kick it with has locked up, so its like a done deal.",Probably not,neutral,Too much drama at school that you dont want to deal with.
Volunteers at community events,,,,,No other group,Friends,No,No,anger,Brother is locked up
,,,,,No other group,Homies,I got jumped coming from the beach. My ribs were fracture [sic].,No.,neutral,I got jumped coming from the beach.
,,,,,No other group,Homegirls,House was raided,Nothing,anger,House was raided because of friend
,,School,,,No other group,Friends,Nothing,No,neutral,Looking for a job
Work,,Family friend,Young in LA,,Family and friends,No group,,,sadness,"Home problmes, life problems"
,,,,,No other group,Crew,Friends going to jail,Opportunities,joy,Best friends fighting
,,,,,No other group,No group,,,neutral,Probation
Reading book,,,,,No other group,Homies,Father was killed,Finding a job,sadness,Father was murder
,,,,,No other group,No group,,,joy,About to become a father
,,,,,No other group,Homies,Nothing,Nothing has happen [sic],fear,Client was rape
,,,,,No other group,Homies,No,No,fear,Cousin was killed
Working,,,,,No name,Fresh boy click,,,anger,Bother was held at gun point & badly beaten/harmed
Girls empowerment group,,,Cheers Team,,No other group,No group,,,fear,Boyfriend was killed last year
Working out,,,,,No other group,Group,Brother went to jail,Mother of my child is trying,sadness,Brother in jail
Basketball and soccer,,,Soccer and Basketball,,Sports Friends,Friends,Father was involved in a car accident,Being in a relationship,sadness,Court and probation
,,Workers,,,Workers,Homeboys,No,No,joy,Little sister got caught up in neighborhood politics
,,School friends,,,School friends,Homies,No,I'm now going to do other things- Becoming aware of new opportunities,joy,Getting kicked out of school
,,,,,No other group,Friends,"""Yeah, no don't want to mention""","""I had a gotten a job at Homeboys even though I didn't go.""",fear,"""I got raped."""
,,,,,No other group,Wsup,No,No,fear,Had my jaw broken when getting jumped
,,,,,No other group,West,No,No,fear,Neighbor was molested by another neighbor
Life Skills,,School,,,No other group,Homies,Trust,School,fear,Trust issue me and mom
,,Work,,,No other group,Brothers,No,No,neutral,Life
"Working, going to school, and taking classes in order to work on my anger",,,,regular friends,Friends,Bro's,I'm tired of being in jail. I keep going back as soon as I get out.,I have a job now.,anger,Getting locked up
Valuable work experience,,,,,No other group,Group,Being more involved in my son's life,Working a labor intensive job,sadness,Close friend was killed
,,School friends,,,Friends,Friends,"Yes kinda, my boyfriend gets mad, because he doesn't trust them.","I want to focus on myself and school, don't really talk to them",sadness,"Family, broken family"
"Therapy, Church",,School friends,School,Work,Work,Homies,"No, nothing has happened.",Planning college trip to study abroad in Europe,joy,Break up with boyfriend
,,Friends,,Friends,No other group,Group,Because the group was greatly influenced by people doing bad,Not getting influenced,sadness,"Sibling incarcerated, father not spending time with client and younger siblings"
,,,,,No other group,Homies,Being in juvenile hall,Nothing,joy,Got in trouble and was in juvenile hall
,,,,,No other group,Group,Too many people I love got killed,No,sadness,A lot of close friends got killed
I got to the GRYD program,,VOA,Volunteers of America (GRYD),VOA,Volunteers of America (GRYD),Cool group,Nope,Nope,sadness,"Friend, killed to gang violence"
Works out,,School,,,School friends,No name,I was shot at.,I was shot,sadness,Paternal uncle died
Looking for jobs,,Culinary arts/superior market,CB Inc/community build,CB inc/ GRYD,Other group,Group,DK,DK,sadness,Lost job
VOA gathering,,,Volunteers of America (GRYD),VOA,Volunteers of America (GRYD),Rabbits,Nope,Nope,neutral,Getting employment to bills
GRYD,,job,gryd,,GRYD,Goodies,Gossiping some girls talk to much,GRYD case manager is helping with my anger now I have a job,neutral,Parents
,,,,,No other group,No group,,,sadness,Lost college scholarship
Plays basketball and football,,School sports,,Friends,No name,No group,,,joy,Custody w/ family
Job readiness,,School friends,,Street friends,Street friends,No group,,,sadness,Father in prison
"Church, GRYD visits, calls",,"Church, job",,GRYD,GRYD,No group,,,sadness,Separated from my family in Mexico
"Excercise, diet, reading",,,Gym,gym associates,Homies,Folks,My son following me in my younger days,Going to jail and missing my family,anger,Guy pulled a gun on me
Life Skills,,,,,Group,Group,Life skills and job search.,Aware of new opportunities,neutral,The bills are filling up to the top
"Reading, job search, school, and self-investing activities",,,,,No other group,Group,My homeboy just died. Group member is suspected.,My school,neutral,Tire busted
"Workout, dialysis",,,,Homies,No name,Harlem Crips,My god brother passed away. Also lost a big homie 1 week ago.,"Me being a better mother, and in a new relationship.",sadness,Kidney failure
Life Skills,,,,,Crew,Crew,Losing friends and family members,Aware of new opportunities,sadness,Mother passed
,,,,,No other group,Clique,Broke up with involved boyfriend,More opportunities and chance of graduating from H.S.,fear,Was hospitalized
