sentiment,selected_text
sadness,has finished exams.... has (almost) moved out of halls and is leaving london tomorrow
sadness,
sadness,
boredom,I`m so tired.
neutral, Not really ! 
neutral,
worry,
sadness,They all seem terribly sad . 
neutral," I will find one myself , of course . I ’ m a modern girl . "
neutral, How come ? 
neutral,thanks
worry,So sad you didn`t day Hello to me
worry,I may die without my Kateage.
anger,"How often do parents say in exasperation , ` Oh , you 'll be the death of me "" ? "
worry,
fear, I think someone is stalking me . 
anger," Oh , this one is perfect . "
neutral,excited
worry,
neutral,
neutral,"If you keep trying, you`ll get it right the last time."
worry,
worry,might not be a good thing
sadness,
fear,"@koci71 nice pun there to make me chuckle, thanks Kev! Still petrified though... I woke up with a wheezy chest "
worry,The newest versions are not any better
neutral, And ? 
fear,A neighbour's girl had disappeared and many people were looking for her.  Someone had gone to notify the police.  Something had certainly happened to her.
worry,crying
worry,
neutral, Are you sure there are no more open classes ? 
neutral, It can ’ t be helped . 
sadness,o regret
sadness,fail my art final. FML. this was by far the worst semester of my life school wise- otherwise it was the best
sadness,"Sadly,"
fear,They 're frightened to death . 
anger,My family told me to leave if I was not willing to accept the conditions they imposed on me.
sadness,":O Looking through my old stuff and found a record from my old band! Well,a band that I was in for about a month. Ever heard of  ?"
worry,hurts!!
neutral,http://onoir.com try to go if you can. I tell everyone who goes to Montreal to check it out. Even people who live there
sadness," My parents called . As usual , they reminded me again that I should have a plan to marry by my late 20s . Easier said then done . Who should I marry ? I have no time to go on a date . "
neutral,late
sadness,
neutral,"yes, at an upgraded consumption rate, too"
fear,"` South Africa must be worried how easily we did get through , and close to their line , because they know that Will Carling and Jeremy Guscott are amongst the quickest in the world . "
worry,
neutral,chill its da rihanna bob. If it was 16 in I`d have no problem!!! Lol. R u at school all summer
sadness,
sadness,
neutral,nice
worry,
worry,love my son he`s a hero
neutral,busy
anger,By now the priest was becoming exasperated with the child who in turn was becoming ever more stubborn by the minute . 
neutral,aw
neutral,
worry,Is trying to buy a new bible...but they just aren`t the same...why did my dogs have to chew it up?
worry,well wassup than dont be scurred now! lol you`d probably like it if it came to biting!
neutral,My door looks naked   It makes my room feel bigger though.
worry,just found two very moldy and squishy reasons why non cracker based foods aren`t allowed in the play room. When mom`s away...
sadness,
neutral,what`s wrong with dressing in fifties fashion?
sadness,can`t believe I`m leaving this place tomorrow.
sadness,NEED SOMEONE TO CHEER ME UP
neutral, How's it ? 
sadness,
neutral,
neutral,
sadness,bored..
neutral, yes ! 
neutral,
fear,"Far from experiencing simple gratitude , such children will most likely feel terribly torn and anxious when faced with their foster parents ' offer of affection . "
worry,
fear,Someone knocked on the door when I was alone at home (though there was a door bell).  I looked through the peep hole but it had been covered.  I called my sister but she could not help me as she was hundreds of kilometres away.
sadness,When my beloved grandfather died.
neutral,yeah... I suppose
neutral,how long did it take you to learn the song
neutral,happy mothers day
worry,I willdo anythig to go to the show
neutral,UNSALVAGEABLE
sadness,He felt increasingly irritated and despondent . 
worry,"Did 2dives w/ Oceans Deep Dive. 10m vis, no sun, no colours. Dynamite fishing has done it`s toll on the reefs."
neutral,tomorrow night would definitely work
neutral,hey you!
sadness,"_l unfortunately not.my work ties me down 4 the whole summer.but if there`s a eu-tour this fall,I`ll be there!  I want a rebound"
worry,Good
neutral,
sadness,"awww  no problem , sorry for tha loss"
neutral,
worry,Wow. So I hate Staples right now. Majorly. Thanks for being complete fucktards and killing our productivity
neutral,e always amazing
sadness,sad
anger,"I had made an error in planning a programme and had publicly accepted the mistake, despite repeated requests not to bring the matter for discussion a professor kept constantly passing remarks. I reacted angrily.  "
neutral,
worry,**** it`s good
worry,fantabulous!
worry,
neutral,At minibar... listening to politics  maybe some tech starups soon?
neutral,almost 100 cases of swine in australia. hope may still decides to come visits me
neutral,I sent u a direct message.. there`s my mail
worry,messed
neutral,I don't understand why some parents keep beefing and complaining about their daughters not being able to follow suit . 
sadness,"thanks! Ugh...what a bad, bad day I`ve had."
worry,
neutral,
sadness,Sorry I can not reach either URL
worry,I am so lucky to have so many great people in my life.  I am blessed
fear,"Then we killed her , and I felt frightened of her . "
worry,
sadness,It smells like the beach from my job..
neutral,
worry,http://twitpic.com/4wsst - one of my models from a photo shoot.  stacey
worry,
worry,I`m hungry  wife is at a Bodyshop Party and is bringing a takeaway home with her - how much longer will the party go on?
neutral, I got it . Do you pay for the programs ? 
neutral,they`re bees that will be trapped into my honeypot
sadness,The end of a relationship (after 4 years) by doing this I hurt the other person very much.
worry,Done a bump out and now back in bed seemingly unable to muster the energy to get up again  Sundays are great.
worry,was not an
neutral,Do you ever sleep?
anger,"A whole crowd of us went to a folklore festival. The instructor of the cast where my boyfriend played was traveling with us. We decided to catch the train that leaved early in the morning because we had business on the following day. The instructor tried to get the upper hand and made us catch the train in spite of everything, all the time he made me angry."
neutral,"I love my mom, she`s the best mom on the planet"
anger, He's a sad dog . He came to the wedding in jeans ! 
neutral,
neutral,Poor .  The flowers are fornicating with HIS nose now.
neutral,tough
sadness,
worry,"off this cold, ugh"
sadness,
sadness,s nto as good
worry,
worry,
neutral,I`m pretty sure
sadness,When my first girlfriend an I left each other.
neutral,mean
sadness,bad
worry,FINALLY GOT THE BIKE I WANTED!
worry,"hmm, do not feel like writing monthly reports tonight!  probably should get started though..."
sadness,And it`s such glorious weather too - poor you
neutral,dropped
worry,been sick
neutral,"good,"
fear,I experienced fear when I was not prepared for the final year degree exams.
neutral,mm it was cold in your shadow anyway. Ooh monday
neutral," Yes , it was the kind of perfect plastic wrap that comes with new products.Look , it even had a bar-code price sticker on it ! It looked brand new . "
neutral, Sure . 
neutral,lot of fans
anger,She didn't look quite so indignant as she 'd looked before . 
worry,(bullhorn] tell ur friends 2 follow me  come onnnnnnnnnnnn ppl
fear,I feel like I'm missing out on the things I should be doing at this age. I really hope not though. 
worry,im gettin off nd watch a movie nd have a couple of drinks nd shots   ill try 2 get get back on if i can
anger,
anger,It's taking you forever to do my hair . 
neutral,not nerdy at all. I made one yesterday.
neutral,Have to go to my old house and finish moving.
neutral,they`ll tame you!
neutral,Hey!  Who are you closest to among all the Disney stars?  [I`m a Filipno too. D]
neutral,Happy
neutral,Thx
neutral,"Played ball at the park, coached a youngster on fundamentals.. Goin home to steak and lobster.. Word up"
worry,Where are u  miss you I hope you are doing well *sending big hugs
neutral, Where ? 
neutral,enjoying
worry,lost
worry,
worry,I can`t sleep...I keep thinking about the puppy I played with today
worry,ME
sadness,.unfortunately
sadness,
neutral,"... go to that person and click the green arrow *following*, then you`ll see *remove*"
neutral,sees your Steve Coogan and raises you a Dylan Moran.
neutral,Off to see the Doc in a bit to get the knee checked out
sadness,who died in a car wreck last Friday
worry,Why am I still upppp????? LOL.  Work in less than 5 hours.
neutral,off to the family party
worry,as hopin
sadness,hurts
fear,Fighting with class mates in Highschool.
sadness,bad
worry,bullying me
worry,yeah... i guess my password was also changed... i was not able to login my FB  cahnge my pw again ...ufff
sadness,very boring
fear,Someone on my high school football team is also called Moriarty. 
sadness," Yes , I took my temperature last night . It was 102 degrees . But right now I feel my fevers is up to 103 degrees . "
sadness,
sadness,
neutral,hey you ****!! that`s kinda mean dont yu think?!
worry,
neutral,Tired
sadness,worth!!
sadness,aw how to lose a guy in ten days  <3
worry,
sadness,
worry,All I want is to see him tonight.  and I know it`s not gonna happen.
neutral,my GF has an interview with them this week
sadness,CEREAL DOESNT COME WITH TOYS ANYMORE!. i jus been thinkin i was buyin the wrong kinds  say it aint so Mo.
worry,i gots a summer job
neutral,I`ve worked my finger tips bare today coding. But we got there.
sadness,Hi . I just lost my purse when I was shopping on the street . I guess somebody stole it from me . 
sadness,Saw poverty in the countryside.
fear,My soul has just been pierced by the most evil look from @rickosborneorg. A mini panic attack and chill in bones followed soon after. 
neutral," No problem , what class would you like to take ? "
worry,hurts
sadness,
worry,Hi Donnie today i want 2 hear from u that u guys r going to reschedule NC so i dont have 2 b bummed anymore
neutral,TV time  see yall later! xoxo
anger, Absolutely not ! I'm not a thief . 
anger, I really don't think it's any of your business . 
neutral,SSSSSSSSSSMACK!!!! Get back at it girl!  Are you doing WW?
neutral, Many ! 
neutral,
sadness,"Heartbroken Tim Godwin weeps as he tells how he had to tell his 23-month-old daughter Sophie : ` Mummy isn't coming back "" . "
neutral, Again ! 
anger,My mother treated me unjustly as if I was a little child. I said mean things. I was unable to defend myself adequately.
worry,a bacon roll and a tea and the (hack)day is your friend  #openhacklondon
sadness,watching 'la rosa de guadalupe' damm this episode is so true they are people that make fun of the people that are virgins
neutral,goodbyeeee
neutral,what have you been up to ?
neutral,fun.
anger,We were just about to go into the Exam room and I didn't see all my writing materials plus the identification card from the place where I left them.
neutral,"At the grove, just watched star trek, grabbing some food"
neutral, What's up ? 
neutral,thank u
worry,
anger,I felt indignant at this casual assumption . 
neutral, What for ? 
worry,
neutral,
anger, I want my money back for the delivery . 
sadness,
worry,sad.
neutral,what am i doing? what can i do?
worry,i think she`ll pull through.
worry,
sadness,
anger,Being insulted on a bus.
anger," Yes , me too . I think I ’ Ve lost some important clients recently because of this train ! "
worry,poor little Core Duo just can`t keep up
neutral,
neutral,The Life Of A College Stay At Home Mom: Delay in the Bash  http://bit.ly/CnyhP
worry,Lunch decision shouldn`t be this hard
neutral,"- Tweetie is using Yfrog now, I think, so any chance of adding it to the in-client image viewing?"
worry,
sadness,
sadness,miss you
neutral,.  Sorr
neutral,I`d love to see you
neutral,
sadness,Sorry
sadness, That's too bad.What kind of accident is it ? Are you all right ? 
worry,
sadness,
neutral,one beat up little girl. Not a good day on
neutral,ok its FF soooo why isn`t anyone following MEEEE??? LOL ughhhh I have some lazy a%# followers they wont even help me out
neutral, Why not ? 
worry,_boo jealous  can you add `and I really wish nicole was here..but we all know what she`s really doing` to that tweet?
anger," No way ! They want publicity for themselves , so that they get invited to make more films , go to lots of cocktail parties , and even make albums ! They have such an easy life . They don ’ t even pay for Drin "
worry,
worry,"impressive fever!  best wishes to her, hope it`s nothing serious"
sadness,spent too much already
neutral,Guess what ? 
worry,I don`t think the coffee at work agreed with my tummy
anger, A man robbed me today . 
fear,A grenade blew out next to me.
neutral, Salesman ? 
anger,"My best friend started moving out with my boyfriend. When I heard this my heart sank because I didn't expect that my own good friend could do such a thing, so I got angry."
neutral,
neutral,bad
neutral,http://twitpic.com/66shw - Just took this for class just 5 minutes ago its awsome being here too bad i graduate next year
neutral, it must be very demanding . 
neutral,
neutral,
neutral,
neutral,Ah this is getting to me
neutral,
sadness,
anger,And found to his annoyance that he was grinding his teeth . 
fear,"My mother had fallen down from a ladder when she had been gathering cherries. Her back was hurt. Just when I arrived, I saw people of the life-saving service giving her medical care."
neutral, Why ? 
sadness,My cat died from an illness.  It had been with us for 7 years.  It was a lovely cat.  It had been ill for one or two weeks and the veterinary surgeon had told us that it was dying.
sadness,
worry,sorry
sadness,
neutral,_Yours13 I`m not at home with my cats right now!
neutral,
fear,Finding out that I am not an as able student as I thought.
worry,afraid
neutral,"@_laertesgirl Ohh of course. She did stop once though, end of Dream. John Woodvine & Zoe Thorne, only ones not signed my programme"
neutral,bumped my domain zemote.com out of the #1 spot
sadness,canceled.
worry,I work tomorrow
neutral, Absolutely . 
worry,hate
sadness,
neutral,i cant even call a **** man  **** on bogus ****. yah digg?
neutral,
neutral,
neutral, Two waves ? 
sadness,I`ve lost too many friends. I do feel for you all
sadness,The loss of the woman who loved me most till today.
fear,"If I said I nothing, I'd be a lying. I'm deathly afraid of grown, straight men with uncomfortably high voices. #WhyDoYouSoundLikeThat"
worry,its mothers day
worry,Just got off phone with Black Swamp Bird Observatory - No reports of Connecticut Warbler from Metzger or Magee today...
neutral, Thanks . 
fear,I had a dream about my fiancTe leaving me and making an end to our relation.
sadness,When I thought for an instant that a very good relationship with a person had finished.
sadness,
sadness,so so tired..
worry,"I`m now totally addicted to Farm Town. Frankly, it`s more fun that fixing laptops or studying the diseases that will kill us all."
neutral,I can`t feel the weekend fever anymore when everyday is  a day off
sadness," Don't worry . Anyway , you are better than me . "
neutral, How come ? 
sadness, I'm awfully sorry to have kept you waiting for so long . 
sadness,I miss you R.....
sadness,
worry,hurt.
neutral, No . What ? 
worry,oh wow...hope he`s ok  u take him 2 the vet?
worry,"babe  ive been aight, urselff?"
neutral, Who cares ? 
sadness, I'll try . I'm under a lot of pressure right now . 
sadness,bored
fear,The weather is very bad (fog and slipperiness) the newcast reports many traffic accidents and my boyfriend is driving home and still has 60 kilometers to go.
neutral,is it in crowntown? i think i may just meet you there? let me get ready and ill let you know
boredom,bored out of my mind
sadness,miss
neutral,
worry,i want to see you all our twittering is making me miss you
neutral,"Hey John , nice skates . Are they new ? "
neutral, I got it . 
worry,"dammit, no!"
neutral,
neutral," Is that the large , white building ? "
worry,shocking! I
sadness,my stomach actually hurts.
sadness,"Rope witdrawal in full effect, no one to tie, no teaching, no demos, no one to play with. But worst of all - No one to play with!"
worry,too much stress
anger,We are repainting rooms in my house. My mother started to enact plans to paint my room without consulting me.
fear,"When I was ringing up a guy who was my teen idol, and was in Auckland. I was really scared, I didn't know what to say or do."
neutral,
worry,Watching Gross Point Blank.
worry,
fear,` It 's actually made me quite nervous about being in London . 
worry,
anger,When after a lot of provocation my child threw a plate on the floor.
sadness,it`s kind of hard
worry,
neutral,http://bit.ly/QQe7B  heres the link  i`ll be talking to you on hereeeeee about it during the movie (x
worry,painful
sadness,` It is miserable for us to look back on these things . 
neutral,
neutral,rofl
worry,so sad! i miss my babies!!!
neutral,insanity
worry,not a good
worry,whatever u want us to wear / stick / show off around DUMBO Brooklyn & Manhattan
neutral,
worry,feeling sick. headache. bored. tireddd
neutral,
neutral,
neutral, Yes . 
fear," I don ’ t feel sick , ... let me check ... Nope ! No fever , I ’ m fine . "
neutral, Why not ? 
sadness,
worry,Not that funny!
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died.  I could not  understand how normal people could behave in such a way."
sadness,
worry,"lonely,D"
neutral,Headed to waterfront for a quick drink with the office peeps...Corsen Building of course was booked  Any suggestions?
worry,__  that`s not good! hope you get better soon and good luck with the exams!
sadness,"The lugubrious publican had seen it as his job to repel strangers and had employed to that end an impressive armoury of taciturnity , malevolent glances , warm beer and poor service . "
sadness,When I think that I will probably never have a genuine contact with my parents.
sadness,breaks
worry,
fear,"@OMcGee82 I felt fine this morning, blatantly due to still being pissed, then my condition rapidly deteriorated.  "
anger," Getting worse . Now he ’ s eating me out of house and home . I ’ Ve tried talking to him but it all goes in one ear and out the other . He makes himself at home , which is fine . But what really gets me is that yesterday he walked into the living room in the raw and I had company over ! That was the last straw . "
worry,Aaaaw no!
sadness,I felt very sad when a friend of mine failed the final exam and she could not be accepted at the institution of learning.
worry,
neutral,just for a little while.. to get an impression of how twitter-copy-topify
neutral,
neutral,its all over! no more high school
worry,hurts!
neutral, Why do you like it ? 
fear,all this  news has made me very nervous whenever i see a cop.  even a friendly cop in the mall.  i hate that.  
sadness,missing my car SO MUCH!!!
worry,
sadness,
neutral,wish
neutral, Certainly . 
sadness,I was sad to hear that my brother had a motorbike accident.
worry,probably why he`s still married to Joan perhaps?
worry,WHY DO U LOT MOCK ME!!!
anger,When a boy tried to fool me so he would be OK trying to show me that he is a gook boy.
neutral,Will miss nostalgia ..
neutral,fun
neutral,
worry,
worry,R.I.P.?
sadness,"When my mother scolded me for something, very insignificant, without knowing the real cause of what had happened. "
neutral,
worry,fail..
sadness,When I realized that it did not make much sense to start a relationship with a girl who was not very constructive to establish a firm relationship.
sadness,
anger, it sounds like any job will be better than the one you have now ! 
sadness,good
sadness,aww only 15minutes left of family guy
sadness, Nothing really . 
neutral,good morning to everyone
sadness,sorry
neutral,hurts.
sadness,The Brazilian lover was looking increasingly disconsolate . 
sadness,"have to change practice pools, someone threw up in our normal pool"
worry,
neutral,I was born there
sadness,"They 'd had a skinful so weren't in a particularly noticing mood but they saw and heard nothing , nothing except what they described as a kind of mournful whistling coming from deep in the wood . "" "
sadness, I just broke up with a girl . Why didn't she understand that I loved her ? 
sadness,Sadly cannot listen...  *sob*
sadness, I got robbed ! 
neutral,
worry,miss
worry,
worry,thanks
worry,Scared
neutral,
neutral,The Barry Gibb Talk show!!!!!
sadness,
neutral,
anger,Mr Brown was livid at the way 1 billion in precious foreign reserves was poured down the drain during the sterling fiasco a fortnight ago . 
sadness,My coffee got cold blah!
neutral,My guess is that its because Sara makes a mention of mariage proposals on her site.
sadness,My camera is brokennn
neutral,
neutral,i am talkin on da phone and typin at da same time
worry,the only way tonight would be better is if I had someone to hang with
sadness,screwed
sadness,trouble
worry,
worry,miss
worry,happy
worry,"oh dear, thats not good - I hope you get through it all with a smile"
sadness,
sadness,Nofair!
worry,annoying
neutral,Delays/cancellations really bite. Have had my fair share and can sympathize. Hang tough
neutral,followed your bro _Vet
sadness,It soon developed into disillusion as the town 's death toll grew and ended in jubilant relief not unmixed with sorrow at the memory of towns-folk who would not return . 
sadness,
worry,. Not an easy problem
worry,
sadness,When my cousin passed away unexpectedly and tragically (a murder).
worry,_Roy i tell them it`s facebook minus everything but the status updates.
neutral,
neutral,been there!  need somewhere NEW
worry,hehe--sorry.  I`ve never been very good at blending in...
worry,Amazing.
sadness,", got a video tape with fungus badluck"
worry,
worry,Fell off the wagon and had a Maccy`s!! : Fell off the wagon and had a Maccy`s!!
sadness, Maybe I just shouldn ’ t show the income then . 
neutral,what are u doing now ??
neutral,*hug*
neutral,"Oh, these are all from www.overheardinlondon.co.uk The others were from the New York version."
anger,"At the hardware store, trying to convert Imperial to Metric measurements, I made a mistake, and didn't buy enough tiles for the bathroom. I was angry at myself, because I hope to be a Maths teacher."
sadness,
sadness,thanks
worry,
worry,
neutral,
worry,live live or leaked live? If it`s live properly I may just role outta bed and download it
neutral,"haha!  yes, there`s a lot to be said for nekkid religion"
anger," No , I didn't save this time.Damn it ! And I'm sick of writing this paper . Now I have to write it all over again too . "
fear,"When the robbers broke in, at night."
neutral,"You cant argue w/them, as they actually have zero things to complain"
neutral,No... have to go on cruches next 2 weeks
sadness, I should've just stayed on the bus . 
neutral,"Hmmm go to sleep because i have to be up at 6 on a saturday  for work, or watch 2 more episodes of one tree hill? one tree hill i think!"
neutral," Don't worry , you'll find a way . "
neutral,this time there is a theme and it is 'purple'
sadness,**** hates goodbyes
worry,"i flew from washington to calfornia , are you still gonna be at the meet&  greet tomorrow"
neutral,Excellent!
neutral,"I always told my kids that I see and hear everything so mind your manors, so I guess that proved it to him."
sadness,
anger,Confuzzled
worry,of mis
neutral,_lipz I don`t know  I haven`t heard from Lorraine recently.
worry,aweee im sorry  but deep down u know i love ya!
worry,
sadness,its been clownin since it got flooded in htown in april. Got it repaired or so I thought.
neutral,i will
sadness,When I was not chosen to go to your English lectures. 
sadness,I miss you
sadness,
neutral,
neutral, Wow ! 
worry,has been good fo
anger, Will you take my materials back from him for me ? Please ! 
worry,u didn`t find any other guys hot
worry,"won`t be able to manage 3 nights babe, have lil ones depending on me here!!  ****"
sadness,
anger,When a colleague was rude with me because she didn't understand the subject about which I was discussing.
sadness,I never failed my examinations since Standard 1 but I experienced sad moments when I sat for Standard 8 Examination and I was not selected for Secondary School education in 1978.
worry,"uff - hard to get going today, up half the night with 6 year old son"
neutral, OK . 
worry,
neutral,May the 4th be with you  #starwarsday (via )
sadness,
neutral,#sad
neutral,Oh yess
sadness,"Bored and kinda lonely, my parents went up to the lake. I didn`t have a friend to bring up so i knew i was bored and didn`t go."
sadness, No . 
sadness,"Enough already about Wolfram Alpha: The Next Google, Or the Next Cuil?"
worry,doesnt support me
fear,Don't get agitated . 
worry,please.
worry,
worry,
worry,
neutral,
fear,"Where ever resides at in your life move in that direction with boldness! The more u go, the less it has power ova you."
worry,
fear, I'm afraid you are beginning to look a little overweight . You really need to stop smoking . That's the main reason you're unhealthy . 
neutral,im up  ..going to work!
anger,South Korea winning more gold medals in the Asian Olympic (more than China).
neutral,"actually I meant motorbike. Not much touring, but I commute when possible -- about 90 min. roundtrip so it`s kinda like touring"
neutral,"My first thought too, I`ve never even watched Dragonball"
neutral,Starting some work on final year project. Just making some test pieces in flash to see how things could work. Listning to iPod too
neutral,i talk to you
sadness,Darnit.  See what happens when I avoid teh interwebs for wor
sadness,good
worry,WORD!!!!!
sadness,Ive buggered up my mobile  ack.
neutral,_Monstr  u may try Prism
fear,Almost had a bicycle accident.
sadness,When on Christmas day my grandmother died. I received the news when I was coming back from a party on the 24th at 5 am.
sadness,The whole family is at my house. I am at work
neutral,
sadness,"So , this is the worst story I ’ Ve heard this month . You have my real sympathy , Tim . "
worry,off to friendss
neutral, No problem . 
neutral,is watching Because I Said So
worry,"bad idea,"
neutral, Why ? 
worry,tired
sadness, That's disappointing . I was really looking forward to it . 
worry,f irresponsible
neutral,doin homework ugh
worry,virus.
sadness,"My friend was pregnant, but lost her child during the second month. I went to see her at hospital - she was crying. I felt very sorry for her."
sadness," Oh , really ? Just a moment ... You paid with a ten-dollar note and I gave you ... Oh , sorry , here's a five left . I'm terribly sorry . "
sadness,sadly
sadness,"empitome of epic fail,"
neutral,
sadness,
neutral,"maybe just a **** good coffee? Same dilemma, tho."
neutral,What happened to Dave?
worry,
neutral,no not yet...
sadness,
sadness,I`ve run out of texts!
worry,afraid
worry,I hate sitting at the doctors office! They told me she is running an hour behind! AWESOME
neutral,
anger,At school teacher for not allowing us to go out on New Year's Eve when on a class trip overseas.
worry,And the car thing sucks - I feel all anxious and yucky now
neutral,
neutral,Happy St
sadness,Harry released her and once again his expression was downcast . 
worry,its a sad day
sadness,"Jessica felt more than flustered , she felt devastated . "
worry,Gosh...who`s doing this??? So bad...  Baylee is a blessed child...these people don`t know what to do... Kisses
neutral,expensive
neutral,
fear,I don't like sharing my feelings Im scared you'll run if I admit something. 
neutral, I was sick . 
neutral,dont want to be though  wish i had slept in more
sadness,I miss my brothers.
sadness,I hate that
worry,of course LOL about to eat more
fear,Saw a snake unexpectedly.
fear,"On my second plane trip, we ran into unexpected turbulence."
worry,
worry,
neutral,"HOME!!!  from my relatives. my sissy, , posted pics of her and our cupie cousin Audrey.  ???"
neutral, From China . 
sadness,I trailed the streets of Sheffield and couldn`t find the pub!  And all the numbers I had were landlines. How goes
fear,op school bezig met fm aan! zeker vet haha
fear,..checking your phone in the washroom and accidentally dropping it in the toilet...lol
fear, Why can't I call the police now ? He was definitely following me ! 
sadness,
anger,He says old Plumpton gets mad at them . 
anger,"When I encountered not only with my father's lack of understanding but also with his unwillingness to understand me as a parent, as far as things for which I (not he) have proves to be right are concerned."
neutral,lost
neutral,i cannot deal
neutral,Is off to meet my folks after a while...gonna b a working weekend too
worry,
worry,Both she and it are crushed!
neutral,"if you could get down to easton, you could join us!"
neutral,Get: 'Fightstar - Mercury Summer' here: http://tinyurl.com/dbm4n6 from: http://tinyurl.com/cnkhev  #musicmonday #freemusic
anger,Once in my work it happened a fight between the person in charge and me. I got so angry and spoke out everything I felt at the moment.
worry,I don`t feel good
sadness,gaah
neutral,
sadness,
fear,"In a rather important exam, when they caught me red handed copying."
worry,
