GRYD_ETO_ID,INTERVIEW_DATE_FB,SET_admin_num,AGE_1_FB,SEX_1,GRYD_Zone_num,group_position,PAGE_3,S1,S2,S3,S4x,S5x,S7x,S6ax,S6b_Other_Activities,S9,S10,S10_num,S10x,S10z,S11a,S11a_Comments,S11b,S12,S13,S14,S16,PAGE_4,ME17,ME18,ME19,ME20a,ME20b,ME20x,ME22_ER,P22,P23,P24,P25,P26,C1a,C1b,C2a,C2b,C3a,C3b,C4a,C4b,C5a,C5b,PAGE_5,Group_name_part1,PUSH_1,PULL_1,FS89_foster_now,FS89_foster_past,FS89_group_now,FS89_group_past,FS89_adopted_now,FS89_adopted_past,FS89_parents_now,FS89_parents_past,FS89_relatives_now,FS89_relatives_past,FS89_spouse_now,FS89_spouse_past,FS89_boygirlfriend_now,FS89_boygirlfriend_past,FS89_alone_now,FS89_alone_past,FS90_younger,FS90_teenagers,FS90_20_29_adults,FS90_30_49_adults,FS90_older_adults,PAGE_6,F1,F2,F3,IF_NO_FAMILY_TEXT,no_fam_num,F4,F5,FS91,FS92,FS93,FS94,FS95,FS96,FS97,FS98,PAGE_7,FS100,FS101,FS102,FS103,FS104,FS105,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16a,F16bx,F17x,PAGE_8,F18,F19,F20,F21,F22x,F23x,F24x,F25x,F26,F27,F28x,F29,F31x,F31b,PAGE_9,group_name_part2,no_group_copy,group_status_no_group,no_group_num,G2,G3a,G3b,EG1,EG2_most,EG2_youngest,EG2_oldest,EG3,EG4x,G5,G5_num,G6,G7,G8,G9,X11_FIXED,PAGE_10,G10x,G11,G12x,G13,G14x,G15,G16,G17,G18,G19,G20,G21,G22a,G22bx,G23x,PAGE_11,G24,G25,G26,G27,G28x,G29x,G30x,G31x,G32,G33,G34x,G35,G36x,G36b,G37,PAGE_12,X18,X19,X20,X21,X22,truthy,Optional_Break,Date_of_Break,Time_Break_Begins,Time_Break_Ends,A1,A1_Description,A2,A2_Description,A3,A3_Description,A4,O1_other_group_name,no_othgp_num,Page_13,O4,O5,O6,O7x,O8,O9,X12_FIXED,O10,O11,O12,O13,O14,O15,Page_14,O16,O17,O18,O19a,O19b,O20x,O21,O22,O23,O24,Page_15,X10,X11,X12,X13,X14,X15,X16,X17,Page_16,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8_Not_Honest,Page_17,Completed_by_CIW,CIW_CLIENT_ID,CIW_INTERVIEW_DATE,CIW_COMPLETED_DATE,CIW1,CIW2,CIW3,CIW4,CIW5,CIW6_COMMENTS,END_OF_SET_QUESTIONS
Newton 1-17-66-1,"2,03,2016",1,16,1,12,3, ,0,0,0,8,0,0,0,777,3,2,2,1,0,0,777,0,3,3,3,2, ,3,3,2,2,3,3,3,4,5,2,2,5,1,30,1,60,1,30,0,,0,, ,No group,777,777,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,0, ,0,5,3,777,1,0,1,4,2,2,2,1,3,2,2, ,3,2,3,2,3,3,3,2,3,3,3,3,3,3,2,2,2,4, ,5,4,5,4,3,3,3,3,3,2,3,3,3,3, ,Homies,1, ,1,12,0,,4,10,11,33,1,1,5,5,3,4,3,5,3, ,3,3,2,3,3,4,3,4,3,3,3,3,3,3,2, ,4,4,4,4,3,2,3,3,3,2,4,3,3,3,5, ,1,0,1,1,1,0.8,2, , , ,0,777,0,777,0,777,0,Homies,1, ,3,3,3,1,1,2,2,3,2,2,2,3,3, ,3,3,2,2,3,3,3,3,3,3, ,1,3,2,0,3,1,1,1, ,1,3,4,2,3,5,2,Blank, ,777,Newton 1-17-66-1, , , , , , , ,no page 17 completed, 
77th 2-13-1301-1,"2,04,2016",1,17,2,2,1, ,0,0,0,30,20,0,2,Church,3,1,1,1,1,1,Family member killed,,3,4,4,4, ,3,3,4,3,3,3,4,5,5,5,1,5,0,,0,,0,,0,,0,, ,No group,777,777,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,2,2,3,1, ,0,20,11,777,1,1,1,5,5,5,5,3,5,5,5, ,5,5,5,3,5,5,4,4,4,4,4,4,4,2,4,4,4,2, ,5,5,5,4,4,4,4,4,3,3,3,4,3,4, ,No group,0,1,0,,,,,,,,,777,,777,,,,,9, ,777,,777,,777,,,,,,,,,777,777, ,,,,,777,777,777,777,,,777,,777,777,, ,1,0,1,1,1,0.8,2, , , ,0,777,0,777,0,777,0,No other group,0, ,,,,777,,,9,,,,,,, ,,,,,,777,,,,, ,2,9,9,0,0,0,2,3, ,1,4,1,3,3,2,3,Blank, ,777,77th 2-13-1301-1, , , , , , , ,I think she was honest, 
SPWTN-0-84-1,"2,07,2016",2,19,1,6,3, ,0,0,0,30,0,0,2,GRYD,2,0,0,1,0,1,Friend was shot,0,3,3,3,3, ,1,4,2,2,2,2,3,2,3,4,4,3,0,,0,,0,,0,,0,, ,Homies,Nothing,No,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,999,2,999, ,0,31,5,777,1,1,5,3,4,2,2,1,4,2,2, ,3,1,2,4,4,3,4,4,4,4,1,5,3,3,2,3,2,4, ,3,3,3,2,2,2,3,4,4,3,4,4,4,3, ,Homies,1, ,1,14,1,18,5,17,13,60,1,1,5,5,5,4,4,3,2, ,5,4,3,3,3,4,4,4,3,4,3,3,4,3,3, ,4,4,4,3,3,1,3,3,3,3,2,3,4,2,4, ,1,0,0,0,1,0.4,2, , , ,0,777,0,777,0,777,0,No other group,0, ,,,,777,,,9,,,,,,, ,,,,,,777,,,,, ,2,2,9,3,3,9,0,0, ,2,2,3,1,3,3,4,Blank, ,777,SPWTN-0-84-1, , , , , , , ,no page 17 completed, 
Harbor-21-127-1,"2,08,2016",1,20,1,6,4, ,1,1,1,0,0,32,0,777,3,1,1,1,0,1,Relationship,1,4,4,4,4, ,4,4,4,3,2,2,3,4,4,4,3,5,1,0,1,0,1,0,0,,1,0, ,Homies,Friend was shot,Having a kid,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2, ,2,20,5,777,1,4,2,4,4,4,2,3,4,4,4, ,1,3,4,4,3,3,3,4,4,4,4,3,2,4,2,2,2,4, ,5,5,5,4,4,4,4,4,2,4,4,2,4,4, ,Homies,1, ,1,12,0,,5,22,14,24,1,1,3,3,3,3,3,4,3, ,3,4,2,4,4,5,5,4,3,3,3,3,3,3,3, ,5,5,5,4,4,2,4,2,4,4,4,2,4,4,, ,1,1,1,1,1,1,2, , , ,1,School peer,0,777,1,Neighbors,0,Co-workers,1, ,5,4,5,0,3,3,2,3,3,2,4,2,4, ,3,3,3,2,2,3,3,4,5,2, ,2,3,2,4,0,2,3,5, ,1,3,4,1,3,3,3,Blank, ,777,Harbor-21-127-1, , , , , , , ,no page 17 completed, 
NHSEA-0-218-3,"2,10,2016",1,16,1,8,3, ,0,0,0,1,5,0,3.5,999,3,0,0,0,0,0,777,0,3,2,2,2, ,2,4,2,2,1,4,2,4,2,2,1,2,0,,0,,0,,0,,0,, ,No group,777,777,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,2,0,2,0, ,0,10,6,777,1,3,7,5,5,5,5,5,5,5,4, ,3,5,3,3,4,5,4,4,4,4,4,4,2,4,2,2,2,4, ,4,2,5,3,4,3,4,4,4,4,3,4,2,4, ,No group,0,3,0,,,,,,,,,777,,777,,,,,9, ,777,,777,,777,,,,,,,,,777,777, ,,,,,777,777,777,777,,,777,,777,777,, ,1,0,0,0,0,0.2,2, , , ,1,Home,0,777,1,Other buddies,0,Home friends,1, ,3,3,4,0,3,4,2,4,4,3,4,4,4, ,2,3,2,1,1,4,4,3,4,3, ,3,9,2,9,9,9,0,0, ,1,3,3,1,3,3,3,Group sections and questions., ,777,NHSEA-0-218-3,"2,10,2016","2,10,2016",3,4,3,2,1,"Parents need help with involvement in crew, we mentoring him change complit a lot went we told true life in gang.", 
Hollywood-12-35-1,"2,11,2016",1,15,2,10,3, ,1,0,0,8,2,0,1,Workshops,7,7,7,0,0,1,888,1,3,3,3,4, ,4,3,3,3,3,3,2,5,5,1,2,5,0,,0,,0,,0,,1,1, ,Homies,Ever since I started using and hanging around with the wrong people,"Yes, I started going back to school",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,1,0, ,0,5,2,777,1,2,2,3,1,1,1,1,1,4,1, ,1,1,2,1,1,2,3,3,3,3,3,3,2,2,2,3,2,3, ,5,5,5,3,3,4,3,3,3,3,2,2,4,3, ,Homies,1, ,1,13,0,,3,,12,,1,1,3,3,4,2,4,3,2, ,7,3,3,3,3,2,3,3,4,3,2,3,3,3,2, ,4,4,4,4,3,2,3,3,2,3,2,2,3,3,3, ,1,0,1,0,0,0.4,2, , , ,1,School friends,0,777,0,777,0,Side friends,1, ,1,0,1,0,0,0,0,2,2,2,2,2,2, ,2,2,2,2,2,4,3,3,2,2, ,2,2,0,2,0,0,6,6, ,3,2,3,1,3,4,3,Blank, ,777,Hollywood-12-35-1, , , , , , , ,no page 17 completed, 
Harbor-21-128-1,"2,15,2016",1,20,1,6,4, ,1,0,0,0,0,40,0,777,,,999,1,0,1,Getting shot at,1,4,5,5,4, ,3,2,2,2,2,4,2,3,5,2,2,3,1,0,0,,1,0,0,,0,, ,Homies,Nothing,"Yes, picked up more work and brought a ss truck",0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,2,2,999, ,5,10,4,777,1,3,6,4,4,4,4,4,4,4,5, ,3,4,4,4,4,4,4,4,4,4,5,5,2,4,1,5,1,5, ,4,2,5,2,4,3,4,4,4,3,4,4,2,4, ,Homies,1, ,1,15,0,,6,19,15,55,1,1,2,2,3,1,4,3,4, ,4,4,3,4,4,4,4,3,4,4,3,4,3,4,2, ,4,3,5,3,4,2,4,4,2,4,2,4,4,2,3, ,0,1,1,1,1,0.8,2, , , ,1,Co-worker,0,777,0,777,0,Co-workers,1, ,4,3,4,0,2,2,2,4,4,4,4,5,5, ,2,4,2,2,2,4,4,1,4,2, ,4,4,2,0,2,4,0,1, ,1,3,4,1,3,3,3,Blank, ,777,Harbor-21-128-1,"2,15,2016","2,15,2016",1,3,3,1,3,"He is a dedicated worker, who works with his father", 
SPWTN-0-106-1,"2,16,2016",2,18,1,6,4, ,0,0,0,0,0,0,0,777,6,1,1,1,0,0,777,0,2,2,4,3, ,2,4,3,1,1,4,2,3,4,3,3,3,0,,0,,1,14,0,,0,, ,Rancho,Nothing,Nothing,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,999,2,999,2,999, ,1,0,4,777,1,1,1,5,3,3,3,3,3,3,5, ,4,3,3,3,3,3,4,4,3,3,5,5,3,4,2,2,2,4, ,5,5,5,3,2,2,3,3,3,4,3,3,3,3, ,Rancho,1, ,1,14,1,16,3,19,15,35,1,1,4,4,4,4,1,4,2, ,3,3,2,2,2,3,3,2,3,3,3,3,3,3,3, ,3,3,3,2,2,1,2,2,5,5,5,2,4,3,5, ,0,0,0,0,0,0,2, , , ,0,777,0,777,0,777,0,No other group,0, ,,,,777,,,9,,,,,,, ,,,,,,777,,,,, ,3,2,9,1,1,9,0,2, ,2,2,3,1,3,3,4,Blank, ,777,SPWTN-0-106-1,"2,16,2016","2,16,2016",1,3,3,1,3,Blank, 
Harbor-21-107-1,"2,17,2016",2,19,1,6,4, ,1,0,0,0,0,40,0,777,5,0,0,1,0,0,777,0,3,3,3,4, ,3,4,2,3,3,4,2,4,4,2,2,4,0,,0,,0,,0,,0,, ,16,Nothing,Got a raise,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,999,1,2,2,999, ,1,5,5,777,1,1,4,4,4,3,4,4,4,4,4, ,5,5,5,4,4,4,4,3,4,4,5,5,2,4,3,3,2,4, ,4,5,5,3,3,2,3,3,4,3,4,3,3,3, ,16,1, ,1,14,1,20,5,25,18,45,1,1,3,3,3,3,1,2,2, ,6,3,3,3,3,4,4,3,3,3,3,3,3,3,3, ,4,4,4,3,2,2,2,2,4,4,4,3,4,2,3, ,1,0,1,0,1,0.6,2, , , ,1,Work friends,1,Neighbor,1,Neighbors,0,Work friends,1, ,4,2,4,5,3,2,2,4,3,3,2,4,4, ,2,4,2,2,2,4,4,4,4,3, ,2,2,2,3,2,0,0,0, ,1,3,2,1,3,3,4,Blank, ,777,Harbor-21-107-1,"2,17,2016","2,17,2016",1,3,2,999,777,Blank, 
RPARGR-PP-15-2,"2,19,2016",1,17,2,10,3, ,0,0,0,30,0,0,4,Drug free world workshop,3,2,2,0,0,1,Very stressful hanging out with the wrong people.,1,2,4,4,4, ,4,2,4,2,2,2,2,1,5,2,2,2,0,,0,,0,,0,,0,, ,Homies,Nothing,Coming to workshops at Aztecs Rising pulls me from hanging with my homies,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0, ,2,0,5,777,1,0,0,5,5,3,5,1,3,3,1, ,3,1,5,1,2,3,2,3,2,3,3,3,3,3,2,2,2,4, ,5,5,5,4,5,2,2,2,5,5,1,1,3,5, ,Homies,1, ,1,9,1,17,4,19,14,24,1,1,3,3,5,2,5,5,3, ,5,1,3,1,1,3,5,4,1,3,5,5,5,2,1, ,5,5,5,5,5,1,1,1,4,4,4,4,4,4,5, ,1,0,1,1,1,0.8,2, , , ,0,777,0,777,1,Friends,0,Friends,1, ,4,5,4,3,3,3,2,3,3,4,4,3,3, ,4,2,5,3,5,2,2,2,3,4, ,1,3,2,3,1,3,5,3, ,3,2,2,1,3,4,4,Blank, ,777,RPARGR-PP-15-2, , , , , , , ,no page 17 completed, 
